1729950878.513784661: PING 192.168.6.31 (192.168.6.31) 56(84) bytes of data.
1729950885.256533970: 64 bytes from 192.168.6.31: icmp_seq=68 ttl=63 time=1.90 ms
1729950885.358215013: 64 bytes from 192.168.6.31: icmp_seq=69 ttl=63 time=2.62 ms
1729950885.459939152: 64 bytes from 192.168.6.31: icmp_seq=70 ttl=63 time=3.22 ms
1729950885.558671738: 64 bytes from 192.168.6.31: icmp_seq=71 ttl=63 time=1.71 ms
1729950885.660769647: 64 bytes from 192.168.6.31: icmp_seq=72 ttl=63 time=2.26 ms
1729950885.760713480: 64 bytes from 192.168.6.31: icmp_seq=73 ttl=63 time=1.54 ms
1729950885.862043116: 64 bytes from 192.168.6.31: icmp_seq=74 ttl=63 time=2.49 ms
1729950885.963455344: 64 bytes from 192.168.6.31: icmp_seq=75 ttl=63 time=3.03 ms
1729950886.062860362: 64 bytes from 192.168.6.31: icmp_seq=76 ttl=63 time=2.31 ms
1729950886.163385341: 64 bytes from 192.168.6.31: icmp_seq=77 ttl=63 time=2.27 ms
1729950886.263171406: 64 bytes from 192.168.6.31: icmp_seq=78 ttl=63 time=1.50 ms
1729950886.364606619: 64 bytes from 192.168.6.31: icmp_seq=79 ttl=63 time=2.26 ms
1729950886.464016971: 64 bytes from 192.168.6.31: icmp_seq=80 ttl=63 time=1.79 ms
1729950886.566230082: 64 bytes from 192.168.6.31: icmp_seq=81 ttl=63 time=2.64 ms
1729950886.668349324: 64 bytes from 192.168.6.31: icmp_seq=82 ttl=63 time=3.08 ms
1729950886.766747191: 64 bytes from 192.168.6.31: icmp_seq=83 ttl=63 time=1.95 ms
1729950886.867316205: 64 bytes from 192.168.6.31: icmp_seq=84 ttl=63 time=2.45 ms
1729950886.969095804: 64 bytes from 192.168.6.31: icmp_seq=85 ttl=63 time=3.13 ms
1729950887.068974459: 64 bytes from 192.168.6.31: icmp_seq=86 ttl=63 time=2.37 ms
1729950887.168371320: 64 bytes from 192.168.6.31: icmp_seq=87 ttl=63 time=1.70 ms
1729950887.270103443: 64 bytes from 192.168.6.31: icmp_seq=88 ttl=63 time=2.41 ms
1729950887.372193602: 64 bytes from 192.168.6.31: icmp_seq=89 ttl=63 time=3.98 ms
1729950887.473478075: 64 bytes from 192.168.6.31: icmp_seq=90 ttl=63 time=4.50 ms
1729950887.572863126: 64 bytes from 192.168.6.31: icmp_seq=91 ttl=63 time=3.78 ms
1729950887.672051270: 64 bytes from 192.168.6.31: icmp_seq=92 ttl=63 time=1.74 ms
1729950887.774370626: 64 bytes from 192.168.6.31: icmp_seq=93 ttl=63 time=3.54 ms
1729950887.876483049: 64 bytes from 192.168.6.31: icmp_seq=94 ttl=63 time=4.25 ms
1729950887.976104458: 64 bytes from 192.168.6.31: icmp_seq=95 ttl=63 time=4.06 ms
1729950888.075702694: 64 bytes from 192.168.6.31: icmp_seq=96 ttl=63 time=3.00 ms
1729950888.175933147: 64 bytes from 192.168.6.31: icmp_seq=97 ttl=63 time=2.81 ms
1729950888.276754009: 64 bytes from 192.168.6.31: icmp_seq=98 ttl=63 time=2.76 ms
1729950888.381726962: 64 bytes from 192.168.6.31: icmp_seq=99 ttl=63 time=6.97 ms
1729950888.478727177: 64 bytes from 192.168.6.31: icmp_seq=100 ttl=63 time=4.12 ms
1729950888.584905163: 64 bytes from 192.168.6.31: icmp_seq=101 ttl=63 time=9.30 ms
1729950888.682072552: 64 bytes from 192.168.6.31: icmp_seq=102 ttl=63 time=6.38 ms
1729950888.781534698: 64 bytes from 192.168.6.31: icmp_seq=103 ttl=63 time=5.72 ms
1729950888.885016215: 64 bytes from 192.168.6.31: icmp_seq=104 ttl=63 time=8.39 ms
1729950888.984750553: 64 bytes from 192.168.6.31: icmp_seq=105 ttl=63 time=7.37 ms
1729950889.092495556: 64 bytes from 192.168.6.31: icmp_seq=106 ttl=63 time=14.2 ms
1729950889.190118280: 64 bytes from 192.168.6.31: icmp_seq=107 ttl=63 time=10.7 ms
1729950889.289966020: 64 bytes from 192.168.6.31: icmp_seq=108 ttl=63 time=9.97 ms
1729950889.392102066: 64 bytes from 192.168.6.31: icmp_seq=109 ttl=63 time=11.5 ms
1729950889.497824030: 64 bytes from 192.168.6.31: icmp_seq=110 ttl=63 time=16.7 ms
1729950889.593261439: 64 bytes from 192.168.6.31: icmp_seq=111 ttl=63 time=11.0 ms
1729950889.696416964: 64 bytes from 192.168.6.31: icmp_seq=112 ttl=63 time=13.6 ms
1729950889.794499065: 64 bytes from 192.168.6.31: icmp_seq=113 ttl=63 time=11.1 ms
1729950889.897888600: 64 bytes from 192.168.6.31: icmp_seq=114 ttl=63 time=13.9 ms
1729950889.995354021: 64 bytes from 192.168.6.31: icmp_seq=115 ttl=63 time=11.1 ms
1729950890.086781596: 64 bytes from 192.168.6.31: icmp_seq=116 ttl=63 time=2.31 ms
1729950890.187336408: 64 bytes from 192.168.6.31: icmp_seq=117 ttl=63 time=2.46 ms
1729950890.287437336: 64 bytes from 192.168.6.31: icmp_seq=118 ttl=63 time=1.60 ms
1729950890.389638684: 64 bytes from 192.168.6.31: icmp_seq=119 ttl=63 time=2.77 ms
1729950890.490663095: 64 bytes from 192.168.6.31: icmp_seq=120 ttl=63 time=3.29 ms
1729950890.591711207: 64 bytes from 192.168.6.31: icmp_seq=121 ttl=63 time=3.10 ms
1729950890.692807435: 64 bytes from 192.168.6.31: icmp_seq=122 ttl=63 time=4.32 ms
1729950890.791728206: 64 bytes from 192.168.6.31: icmp_seq=123 ttl=63 time=2.79 ms
1729950890.894637445: 64 bytes from 192.168.6.31: icmp_seq=124 ttl=63 time=4.27 ms
1729950890.996084804: 64 bytes from 192.168.6.31: icmp_seq=125 ttl=63 time=4.76 ms
1729950891.095369610: 64 bytes from 192.168.6.31: icmp_seq=126 ttl=63 time=2.96 ms
1729950891.194993919: 64 bytes from 192.168.6.31: icmp_seq=127 ttl=63 time=2.91 ms
1729950891.296153520: 64 bytes from 192.168.6.31: icmp_seq=128 ttl=63 time=2.58 ms
1729950891.398046937: 64 bytes from 192.168.6.31: icmp_seq=129 ttl=63 time=3.39 ms
1729950891.497705499: 64 bytes from 192.168.6.31: icmp_seq=130 ttl=63 time=2.66 ms
1729950891.600014967: 64 bytes from 192.168.6.31: icmp_seq=131 ttl=63 time=4.00 ms
1729950891.700067398: 64 bytes from 192.168.6.31: icmp_seq=132 ttl=63 time=4.36 ms
1729950891.799719155: 64 bytes from 192.168.6.31: icmp_seq=133 ttl=63 time=3.30 ms
1729950891.900246355: 64 bytes from 192.168.6.31: icmp_seq=134 ttl=63 time=3.76 ms
1729950891.999916956: 64 bytes from 192.168.6.31: icmp_seq=135 ttl=63 time=1.64 ms
1729950892.102944981: 64 bytes from 192.168.6.31: icmp_seq=136 ttl=63 time=4.03 ms
1729950892.204733008: 64 bytes from 192.168.6.31: icmp_seq=137 ttl=63 time=5.99 ms
1729950892.304475140: 64 bytes from 192.168.6.31: icmp_seq=138 ttl=63 time=4.22 ms
1729950892.404544014: 64 bytes from 192.168.6.31: icmp_seq=139 ttl=63 time=4.45 ms
1729950892.505291843: 64 bytes from 192.168.6.31: icmp_seq=140 ttl=63 time=3.77 ms
1729950892.607239400: 64 bytes from 192.168.6.31: icmp_seq=141 ttl=63 time=4.78 ms
1729950892.712379096: 64 bytes from 192.168.6.31: icmp_seq=142 ttl=63 time=8.95 ms
1729950892.807460955: 64 bytes from 192.168.6.31: icmp_seq=143 ttl=63 time=3.96 ms
1729950892.906725566: 64 bytes from 192.168.6.31: icmp_seq=144 ttl=63 time=3.16 ms
1729950893.007052185: 64 bytes from 192.168.6.31: icmp_seq=145 ttl=63 time=2.32 ms
1729950893.108721682: 64 bytes from 192.168.6.31: icmp_seq=146 ttl=63 time=3.03 ms
1729950893.223693136: 64 bytes from 192.168.6.31: icmp_seq=147 ttl=63 time=18.1 ms
1729950893.308896756: 64 bytes from 192.168.6.31: icmp_seq=148 ttl=63 time=3.38 ms
1729950893.408702046: 64 bytes from 192.168.6.31: icmp_seq=149 ttl=63 time=1.96 ms
1729950893.509949157: 64 bytes from 192.168.6.31: icmp_seq=150 ttl=63 time=3.27 ms
1729950893.608708381: 64 bytes from 192.168.6.31: icmp_seq=151 ttl=63 time=1.67 ms
1729950893.717952173: 64 bytes from 192.168.6.31: icmp_seq=152 ttl=63 time=9.33 ms
1729950893.813946879: 64 bytes from 192.168.6.31: icmp_seq=153 ttl=63 time=4.40 ms
1729950893.912159260: 64 bytes from 192.168.6.31: icmp_seq=154 ttl=63 time=2.39 ms
1729950894.025092690: 64 bytes from 192.168.6.31: icmp_seq=155 ttl=63 time=15.0 ms
1729950894.116499336: 64 bytes from 192.168.6.31: icmp_seq=156 ttl=63 time=5.38 ms
1729950894.220990462: 64 bytes from 192.168.6.31: icmp_seq=157 ttl=63 time=9.41 ms
1729950894.314905260: 64 bytes from 192.168.6.31: icmp_seq=158 ttl=63 time=2.68 ms
1729950894.415968120: 64 bytes from 192.168.6.31: icmp_seq=159 ttl=63 time=2.57 ms
1729950894.517186401: 64 bytes from 192.168.6.31: icmp_seq=160 ttl=63 time=3.30 ms
1729950894.627007749: 64 bytes from 192.168.6.31: icmp_seq=161 ttl=63 time=12.9 ms
1729950894.722989116: 64 bytes from 192.168.6.31: icmp_seq=162 ttl=63 time=8.56 ms
1729950894.822909991: 64 bytes from 192.168.6.31: icmp_seq=163 ttl=63 time=7.37 ms
1729950894.922889308: 64 bytes from 192.168.6.31: icmp_seq=164 ttl=63 time=7.01 ms
1729950895.025763858: 64 bytes from 192.168.6.31: icmp_seq=165 ttl=63 time=9.12 ms
1729950895.128287780: 64 bytes from 192.168.6.31: icmp_seq=166 ttl=63 time=11.2 ms
1729950895.229651405: 64 bytes from 192.168.6.31: icmp_seq=167 ttl=63 time=12.8 ms
1729950895.329468906: 64 bytes from 192.168.6.31: icmp_seq=168 ttl=63 time=11.5 ms
1729950895.430148183: 64 bytes from 192.168.6.31: icmp_seq=169 ttl=63 time=11.4 ms
1729950895.531952767: 64 bytes from 192.168.6.31: icmp_seq=170 ttl=63 time=12.1 ms
1729950895.633638171: 64 bytes from 192.168.6.31: icmp_seq=171 ttl=63 time=14.2 ms
1729950895.735406440: 64 bytes from 192.168.6.31: icmp_seq=172 ttl=63 time=14.4 ms
1729950895.823421789: 64 bytes from 192.168.6.31: icmp_seq=173 ttl=63 time=2.09 ms
1729950895.923841547: 64 bytes from 192.168.6.31: icmp_seq=174 ttl=63 time=2.25 ms
1729950896.024196862: 64 bytes from 192.168.6.31: icmp_seq=175 ttl=63 time=2.23 ms
1729950896.125193166: 64 bytes from 192.168.6.31: icmp_seq=176 ttl=63 time=2.69 ms
1729950896.229307574: 64 bytes from 192.168.6.31: icmp_seq=177 ttl=63 time=4.76 ms
1729950896.327285459: 64 bytes from 192.168.6.31: icmp_seq=178 ttl=63 time=1.92 ms
1729950896.428558707: 64 bytes from 192.168.6.31: icmp_seq=179 ttl=63 time=2.51 ms
1729950896.528593085: 64 bytes from 192.168.6.31: icmp_seq=180 ttl=63 time=1.57 ms
1729950896.630414111: 64 bytes from 192.168.6.31: icmp_seq=181 ttl=63 time=2.28 ms
1729950896.731997786: 64 bytes from 192.168.6.31: icmp_seq=182 ttl=63 time=3.05 ms
1729950896.831599287: 64 bytes from 192.168.6.31: icmp_seq=183 ttl=63 time=3.00 ms
1729950896.932784951: 64 bytes from 192.168.6.31: icmp_seq=184 ttl=63 time=4.10 ms
1729950897.032515192: 64 bytes from 192.168.6.31: icmp_seq=185 ttl=63 time=3.36 ms
1729950897.133786067: 64 bytes from 192.168.6.31: icmp_seq=186 ttl=63 time=3.93 ms
1729950897.231838876: 64 bytes from 192.168.6.31: icmp_seq=187 ttl=63 time=1.75 ms
1729950897.334678188: 64 bytes from 192.168.6.31: icmp_seq=188 ttl=63 time=3.26 ms
1729950897.435179324: 64 bytes from 192.168.6.31: icmp_seq=189 ttl=63 time=2.79 ms
1729950897.535311928: 64 bytes from 192.168.6.31: icmp_seq=190 ttl=63 time=2.34 ms
1729950897.637818185: 64 bytes from 192.168.6.31: icmp_seq=191 ttl=63 time=3.25 ms
1729950897.735995113: 64 bytes from 192.168.6.31: icmp_seq=192 ttl=63 time=1.86 ms
1729950897.839069476: 64 bytes from 192.168.6.31: icmp_seq=193 ttl=63 time=3.38 ms
1729950897.938390657: 64 bytes from 192.168.6.31: icmp_seq=194 ttl=63 time=2.86 ms
1729950898.038779165: 64 bytes from 192.168.6.31: icmp_seq=195 ttl=63 time=2.07 ms
1729950898.139057043: 64 bytes from 192.168.6.31: icmp_seq=196 ttl=63 time=2.37 ms
1729950898.239401263: 64 bytes from 192.168.6.31: icmp_seq=197 ttl=63 time=1.64 ms
1729950898.341007769: 64 bytes from 192.168.6.31: icmp_seq=198 ttl=63 time=2.82 ms
1729950898.442129729: 64 bytes from 192.168.6.31: icmp_seq=199 ttl=63 time=2.87 ms
1729950898.542586244: 64 bytes from 192.168.6.31: icmp_seq=200 ttl=63 time=2.03 ms
1729950898.643510125: 64 bytes from 192.168.6.31: icmp_seq=201 ttl=63 time=2.30 ms
1729950898.742900314: 64 bytes from 192.168.6.31: icmp_seq=202 ttl=63 time=1.51 ms
1729950898.845003015: 64 bytes from 192.168.6.31: icmp_seq=203 ttl=63 time=3.00 ms
1729950898.944572187: 64 bytes from 192.168.6.31: icmp_seq=204 ttl=63 time=1.55 ms
1729950899.046434976: 64 bytes from 192.168.6.31: icmp_seq=205 ttl=63 time=2.94 ms
1729950899.147372083: 64 bytes from 192.168.6.31: icmp_seq=206 ttl=63 time=2.85 ms
1729950899.246769370: 64 bytes from 192.168.6.31: icmp_seq=207 ttl=63 time=3.28 ms
1729950899.351976573: 64 bytes from 192.168.6.31: icmp_seq=208 ttl=63 time=7.17 ms
1729950899.449208065: 64 bytes from 192.168.6.31: icmp_seq=209 ttl=63 time=3.77 ms
1729950899.552181554: 64 bytes from 192.168.6.31: icmp_seq=210 ttl=63 time=6.74 ms
1729950899.648557176: 64 bytes from 192.168.6.31: icmp_seq=211 ttl=63 time=1.59 ms
1729950899.752761745: 64 bytes from 192.168.6.31: icmp_seq=212 ttl=63 time=4.61 ms
1729950899.852901677: 64 bytes from 192.168.6.31: icmp_seq=213 ttl=63 time=4.28 ms
1729950899.952169720: 64 bytes from 192.168.6.31: icmp_seq=214 ttl=63 time=2.50 ms
1729950900.054215936: 64 bytes from 192.168.6.31: icmp_seq=215 ttl=63 time=3.61 ms
1729950900.152553848: 64 bytes from 192.168.6.31: icmp_seq=216 ttl=63 time=1.88 ms
1729950900.255443284: 64 bytes from 192.168.6.31: icmp_seq=217 ttl=63 time=3.68 ms
1729950900.355977279: 64 bytes from 192.168.6.31: icmp_seq=218 ttl=63 time=3.10 ms
1729950900.460217443: 64 bytes from 192.168.6.31: icmp_seq=219 ttl=63 time=7.19 ms
1729950900.558371660: 64 bytes from 192.168.6.31: icmp_seq=220 ttl=63 time=4.68 ms
1729950900.656919253: 64 bytes from 192.168.6.31: icmp_seq=221 ttl=63 time=1.91 ms
1729950900.761115549: 64 bytes from 192.168.6.31: icmp_seq=222 ttl=63 time=5.21 ms
1729950900.866100636: 64 bytes from 192.168.6.31: icmp_seq=223 ttl=63 time=10.0 ms
1729950900.963952131: 64 bytes from 192.168.6.31: icmp_seq=224 ttl=63 time=6.84 ms
1729950901.064724547: 64 bytes from 192.168.6.31: icmp_seq=225 ttl=63 time=6.70 ms
1729950901.167679868: 64 bytes from 192.168.6.31: icmp_seq=226 ttl=63 time=8.87 ms
1729950901.270953515: 64 bytes from 192.168.6.31: icmp_seq=227 ttl=63 time=10.7 ms
1729950901.376359306: 64 bytes from 192.168.6.31: icmp_seq=228 ttl=63 time=15.3 ms
1729950901.471190377: 64 bytes from 192.168.6.31: icmp_seq=229 ttl=63 time=9.60 ms
1729950901.571160526: 64 bytes from 192.168.6.31: icmp_seq=230 ttl=63 time=8.79 ms
1729950901.674037296: 64 bytes from 192.168.6.31: icmp_seq=231 ttl=63 time=10.6 ms
1729950901.776965520: 64 bytes from 192.168.6.31: icmp_seq=232 ttl=63 time=12.7 ms
1729950901.881527203: 64 bytes from 192.168.6.31: icmp_seq=233 ttl=63 time=15.8 ms
1729950901.973605779: 64 bytes from 192.168.6.31: icmp_seq=234 ttl=63 time=6.82 ms
1729950902.070075930: 64 bytes from 192.168.6.31: icmp_seq=235 ttl=63 time=2.61 ms
1729950902.170978901: 64 bytes from 192.168.6.31: icmp_seq=236 ttl=63 time=3.13 ms
1729950902.271236637: 64 bytes from 192.168.6.31: icmp_seq=237 ttl=63 time=2.68 ms
1729950902.373473547: 64 bytes from 192.168.6.31: icmp_seq=238 ttl=63 time=3.87 ms
1729950902.472966678: 64 bytes from 192.168.6.31: icmp_seq=239 ttl=63 time=1.70 ms
1729950902.574894878: 64 bytes from 192.168.6.31: icmp_seq=240 ttl=63 time=3.23 ms
1729950902.675330952: 64 bytes from 192.168.6.31: icmp_seq=241 ttl=63 time=2.86 ms
1729950902.775836799: 64 bytes from 192.168.6.31: icmp_seq=242 ttl=63 time=2.10 ms
1729950902.876497291: 64 bytes from 192.168.6.31: icmp_seq=243 ttl=63 time=2.42 ms
1729950902.976498060: 64 bytes from 192.168.6.31: icmp_seq=244 ttl=63 time=1.69 ms
1729950903.079238051: 64 bytes from 192.168.6.31: icmp_seq=245 ttl=63 time=3.70 ms
1729950903.179092735: 64 bytes from 192.168.6.31: icmp_seq=246 ttl=63 time=2.73 ms
1729950903.279317076: 64 bytes from 192.168.6.31: icmp_seq=247 ttl=63 time=2.04 ms
1729950903.380315212: 64 bytes from 192.168.6.31: icmp_seq=248 ttl=63 time=2.36 ms
1729950903.480013917: 64 bytes from 192.168.6.31: icmp_seq=249 ttl=63 time=1.58 ms
1729950903.581190867: 64 bytes from 192.168.6.31: icmp_seq=250 ttl=63 time=2.27 ms
1729950903.680971654: 64 bytes from 192.168.6.31: icmp_seq=251 ttl=63 time=1.72 ms
1729950903.782982397: 64 bytes from 192.168.6.31: icmp_seq=252 ttl=63 time=2.75 ms
1729950903.884239645: 64 bytes from 192.168.6.31: icmp_seq=253 ttl=63 time=2.79 ms
1729950903.984305017: 64 bytes from 192.168.6.31: icmp_seq=254 ttl=63 time=2.00 ms
1729950904.085086691: 64 bytes from 192.168.6.31: icmp_seq=255 ttl=63 time=2.38 ms
1729950904.185220131: 64 bytes from 192.168.6.31: icmp_seq=256 ttl=63 time=1.59 ms
1729950904.286373504: 64 bytes from 192.168.6.31: icmp_seq=257 ttl=63 time=2.24 ms
1729950904.387090410: 64 bytes from 192.168.6.31: icmp_seq=258 ttl=63 time=2.67 ms
1729950904.487960847: 64 bytes from 192.168.6.31: icmp_seq=259 ttl=63 time=1.97 ms
1729950904.592646628: 64 bytes from 192.168.6.31: icmp_seq=260 ttl=63 time=6.84 ms
1729950904.688422317: 64 bytes from 192.168.6.31: icmp_seq=261 ttl=63 time=1.50 ms
1729950904.790203429: 64 bytes from 192.168.6.31: icmp_seq=262 ttl=63 time=2.37 ms
1729950904.891795953: 64 bytes from 192.168.6.31: icmp_seq=263 ttl=63 time=3.03 ms
1729950904.990840548: 64 bytes from 192.168.6.31: icmp_seq=264 ttl=63 time=2.75 ms
1729950905.095984188: 64 bytes from 192.168.6.31: icmp_seq=265 ttl=63 time=6.49 ms
1729950905.192332363: 64 bytes from 192.168.6.31: icmp_seq=266 ttl=63 time=2.09 ms
1729950905.295015846: 64 bytes from 192.168.6.31: icmp_seq=267 ttl=63 time=4.56 ms
1729950905.393469178: 64 bytes from 192.168.6.31: icmp_seq=268 ttl=63 time=1.86 ms
1729950905.495400772: 64 bytes from 192.168.6.31: icmp_seq=269 ttl=63 time=2.54 ms
1729950905.597620469: 64 bytes from 192.168.6.31: icmp_seq=270 ttl=63 time=4.24 ms
1729950905.696130979: 64 bytes from 192.168.6.31: icmp_seq=271 ttl=63 time=1.61 ms
1729950905.799433804: 64 bytes from 192.168.6.31: icmp_seq=272 ttl=63 time=3.72 ms
1729950905.899628988: 64 bytes from 192.168.6.31: icmp_seq=273 ttl=63 time=2.79 ms
1729950905.999536401: 64 bytes from 192.168.6.31: icmp_seq=274 ttl=63 time=2.45 ms
1729950906.101391634: 64 bytes from 192.168.6.31: icmp_seq=275 ttl=63 time=3.46 ms
1729950906.200325622: 64 bytes from 192.168.6.31: icmp_seq=276 ttl=63 time=1.72 ms
1729950906.302619415: 64 bytes from 192.168.6.31: icmp_seq=277 ttl=63 time=3.08 ms
1729950906.402422625: 64 bytes from 192.168.6.31: icmp_seq=278 ttl=63 time=2.65 ms
1729950906.503312077: 64 bytes from 192.168.6.31: icmp_seq=279 ttl=63 time=2.43 ms
1729950906.605480172: 64 bytes from 192.168.6.31: icmp_seq=280 ttl=63 time=3.58 ms
1729950906.704117079: 64 bytes from 192.168.6.31: icmp_seq=281 ttl=63 time=1.49 ms
1729950906.805667046: 64 bytes from 192.168.6.31: icmp_seq=282 ttl=63 time=2.46 ms
1729950906.906424974: 64 bytes from 192.168.6.31: icmp_seq=283 ttl=63 time=2.16 ms
1729950907.012050539: 64 bytes from 192.168.6.31: icmp_seq=284 ttl=63 time=7.32 ms
