Time,C1F1Bitrate,C1F1Jitter,C1F1Datagrams,C1F1Delay,C1S1Bitrate,C1S1Jitter,C1S1Datagrams,C1S1Delay,C1F4Bitrate,C1F4Jitter,C1F4Datagrams,C1F4Delay,C1F2Bitrate,C1F2Jitter,C1F2Datagrams,C1F2Delay
1729950886.66,20.8,0.699,0.0,2.16,40.0,0.769,0.0,2.88,20.8,0.764,0.0,4.58,19.2,1.477,0.0,1.65
1729950886.76,19.2,0.914,0.0,2.54,40.0,0.666,0.0,2.99,19.2,0.647,0.0,6.27,20.8,1.571,0.0,2.95
1729950886.86,20.8,0.983,0.0,1.29,40.0,0.724,0.0,4.32,20.8,1.025,0.0,4.88,19.2,1.667,0.0,3.32
1729950886.96,19.2,0.791,0.0,2.14,40.0,0.662,0.0,2.83,19.2,0.905,0.0,4.75,20.8,1.785,0.0,2.39
1729950887.06,20.8,0.669,0.0,1.0,40.0,0.617,0.0,2.01,20.8,0.717,0.0,5.87,20.8,1.37,0.0,2.73
1729950887.16,19.2,0.95,0.0,1.54,40.1,0.97,0.0,3.47,19.2,0.73,0.0,6.17,19.2,1.269,0.0,1.8
1729950887.26,20.8,0.921,0.0,1.77,40.0,0.73,0.0,9.14,20.8,0.976,0.0,8.16,20.8,1.778,0.0,2.68
1729950887.36,19.2,0.977,0.0,0.932,40.0,0.757,0.0,5.82,19.2,0.944,0.0,8.2,19.2,1.729,0.0,2.24
1729950887.46,19.2,0.711,0.0,1.83,40.0,0.777,0.0,9.44,20.8,1.03,0.0,9.33,19.2,1.909,0.0,2.35
1729950887.56,20.8,0.817,0.0,0.966,40.1,0.835,0.0,8.52,19.2,1.025,0.0,10.9,20.8,1.745,0.0,3.46
1729950887.66,20.8,0.695,0.0,1.57,40.0,0.879,0.0,7.3,20.8,0.831,0.0,10.7,19.2,1.67,0.0,1.97
1729950887.76,19.2,0.687,0.0,1.74,40.0,0.863,0.0,5.19,19.2,0.983,0.0,7.35,19.2,1.606,0.0,2.86
1729950887.86,20.8,0.777,0.0,1.93,40.0,0.702,0.0,10.9,20.8,1.03,0.0,3.03,20.8,1.718,0.0,2.18
1729950887.96,19.1,0.737,0.0,3.02,40.0,0.931,0.0,9.58,19.2,1.069,0.0,4.05,20.8,1.673,0.0,2.2
1729950888.06,20.9,0.732,0.0,2.23,40.0,0.754,0.0,8.83,20.8,0.906,0.0,4.36,19.2,1.684,0.0,2.79
1729950888.16,19.2,0.732,0.0,2.54,40.0,0.906,0.0,8.9,19.2,0.862,0.0,3.64,19.2,1.618,0.0,3.34
1729950888.26,20.8,0.658,0.0,1.31,40.0,0.9,0.0,9.39,19.2,0.797,0.0,4.97,20.8,1.67,0.0,4.27
1729950888.36,19.2,0.685,0.0,2.35,40.0,0.972,0.0,14.5,20.8,1.085,0.0,4.33,19.2,1.609,0.0,2.65
1729950888.46,20.8,0.795,0.0,1.88,40.0,1.056,0.0,10.4,20.8,1.064,0.0,4.65,20.7,1.606,0.0,4.41
1729950888.56,19.2,0.783,0.0,1.85,40.0,1.151,0.0,12.9,19.2,0.987,0.0,3.98,20.9,1.499,0.0,2.75
1729950888.66,20.8,0.615,0.0,1.83,40.0,0.861,0.0,13.4,20.8,1.003,0.0,3.65,20.8,1.738,0.0,3.17
1729950888.76,19.2,0.673,0.0,0.844,40.0,0.945,0.0,9.54,19.2,0.837,0.0,3.73,19.2,1.508,0.0,3.59
1729950888.86,20.9,0.751,0.0,1.03,40.0,0.959,0.0,15.4,19.2,0.96,0.0,2.96,20.8,1.518,0.0,1.61
1729950888.96,19.2,0.907,0.0,1.38,38.4,1.26,0.0,1.63,20.8,0.984,0.0,4.04,19.2,1.545,0.0,3.3
1729950889.06,20.8,0.801,0.0,0.758,41.6,1.33,0.0,2.34,19.2,0.779,0.0,2.93,20.8,1.669,0.0,1.64
1729950889.16,19.2,0.739,0.0,1.24,40.0,1.204,0.0,2.15,20.8,0.779,0.0,4.71,19.2,1.621,0.0,2.54
1729950889.26,20.8,0.708,0.0,1.73,40.0,1.327,0.0,2.45,20.8,0.688,0.0,3.32,19.2,1.599,0.0,2.64
1729950889.36,19.2,0.886,0.0,1.73,38.4,1.423,0.0,6.22,19.2,0.664,0.0,5.7,20.8,1.449,0.0,1.58
1729950889.46,20.8,0.874,0.0,1.42,41.6,1.24,0.0,1.71,20.8,0.771,0.0,3.51,20.8,1.71,0.0,2.88
1729950889.56,20.8,0.772,0.0,1.51,38.4,1.394,0.0,2.54,19.2,0.825,0.0,2.25,19.2,1.562,0.0,2.78
1729950889.66,19.2,0.717,0.0,0.781,41.6,1.066,0.0,2.21,20.8,0.743,0.0,3.6,19.2,1.511,0.0,2.17
1729950889.76,20.8,0.716,0.0,1.37,38.4,1.451,0.0,2.42,19.2,0.73,0.0,2.7,19.2,1.483,0.0,2.46
1729950889.86,19.2,0.932,0.0,2.12,40.0,1.377,0.0,7.31,20.8,0.78,0.0,5.69,20.8,1.472,0.0,1.49
1729950889.96,20.8,1.058,0.0,1.72,40.0,1.447,0.0,1.54,19.2,0.928,0.0,4.09,20.8,1.673,0.0,2.68
1729950890.06,19.2,1.146,0.0,2.14,38.4,1.408,0.0,2.52,20.8,1.053,0.0,2.99,19.2,2.043,0.0,2.88
1729950890.16,20.8,0.857,0.0,1.71,41.6,1.102,0.0,3.15,19.2,1.148,0.0,3.89,20.8,2.075,0.0,2.45
1729950890.26,19.2,0.735,0.0,0.86,38.4,0.891,0.0,3.01,20.8,0.921,0.0,2.25,19.2,1.768,0.0,2.83
1729950890.36,20.8,0.963,0.0,0.855,41.6,1.007,0.0,4.35,19.2,0.838,0.0,4.76,20.8,1.65,0.0,1.63
1729950890.46,19.2,1.042,0.0,0.907,40.0,0.816,0.0,2.38,20.8,0.959,0.0,4.0,19.2,1.662,0.0,2.08
1729950890.56,20.8,1.034,0.0,1.21,41.6,0.886,0.0,3.59,19.2,1.027,0.0,2.98,19.2,1.658,0.0,1.6
1729950890.66,19.2,1.003,0.0,3.22,40.0,0.796,0.0,1.58,20.8,1.15,0.0,4.2,20.8,1.83,0.0,2.77
1729950890.76,20.8,0.864,0.0,1.4,40.1,0.852,0.0,5.3,19.2,1.015,0.0,3.87,20.8,1.888,0.0,3.9
1729950890.86,19.2,1.221,0.0,1.71,40.0,0.973,0.0,3.01,20.8,0.94,0.0,4.01,19.2,1.683,0.0,2.34
1729950890.96,20.8,1.131,0.0,0.853,39.9,0.904,0.0,1.91,19.2,1.126,0.0,2.56,20.8,2.204,0.0,3.81
1729950891.06,19.2,1.059,0.0,0.818,38.4,1.071,0.0,3.16,20.8,1.124,0.0,4.27,19.2,1.867,0.0,1.63
1729950891.16,20.8,0.837,0.0,0.782,41.6,1.057,0.0,1.84,19.2,0.972,0.0,3.61,20.8,2.009,0.0,3.84
1729950891.26,19.2,0.784,0.0,0.848,40.0,0.935,0.0,4.17,20.8,0.886,0.0,3.68,19.2,1.577,0.0,2.59
1729950891.36,20.8,1.091,0.0,2.479,40.0,1.19,0.0,2.26,19.2,0.863,0.0,4.58,20.8,1.709,0.0,2.05
1729950891.46,19.2,1.018,0.0,4.11,40.0,1.129,0.0,2.51,20.8,1.129,0.0,4.63,19.2,2.009,0.0,4.08
1729950891.56,19.2,1.157,0.0,4.88,38.4,1.226,0.0,2.77,19.2,1.197,0.0,6.13,20.8,1.962,0.0,5.48
1729950891.66,20.8,0.997,0.0,4.08,41.6,1.183,0.0,1.46,19.2,1.225,0.0,4.84,19.2,2.048,0.0,10.1
1729950891.76,19.2,0.768,0.0,4.34,38.4,1.131,0.0,4.95,20.8,1.114,0.0,5.43,20.8,1.862,0.0,8.64
1729950891.86,19.2,0.723,0.0,3.91,41.6,0.978,0.0,1.58,20.8,0.901,0.0,4.81,20.8,1.811,0.0,8.45
1729950891.96,20.8,0.742,0.0,3.96,38.4,1.013,0.0,2.47,19.2,1.048,0.0,4.93,19.2,1.889,0.0,8.91
1729950892.06,20.8,0.879,0.0,3.02,40.0,1.023,0.0,3.3,19.2,1.085,0.0,4.61,19.2,1.785,0.0,11.3
1729950892.16,20.8,0.869,0.0,5.15,40.0,1.347,0.0,3.36,20.8,1.164,0.0,5.57,20.8,1.759,0.0,15.6
1729950892.26,19.2,0.803,0.0,2.12,40.0,1.061,0.0,5.64,20.8,0.905,0.0,4.43,19.2,1.5,0.0,13.4
1729950892.36,20.8,0.606,0.0,1.02,40.0,1.033,0.0,1.71,19.2,0.886,0.0,3.9,20.8,1.735,0.0,7.63
1729950892.46,19.2,0.708,0.0,2.33,41.6,0.924,0.0,2.36,19.2,0.928,0.0,4.02,19.2,1.671,0.0,2.7
1729950892.56,20.8,0.965,0.0,2.79,38.4,1.313,0.0,2.71,20.8,1.206,0.0,5.78,19.2,1.332,0.0,1.8
1729950892.66,19.2,0.875,0.0,5.64,41.6,1.331,0.0,8.81,19.2,1.168,0.0,6.69,20.8,1.62,0.0,2.1
1729950892.76,20.8,0.688,0.0,4.96,40.0,1.06,0.0,7.86,20.8,0.899,0.0,6.13,20.8,1.215,0.0,1.58
1729950892.86,19.2,0.695,0.0,5.11,40.0,1.116,0.0,2.89,19.2,0.738,0.0,6.38,19.2,1.176,0.0,2.48
1729950892.96,20.8,0.767,0.0,5.34,40.0,1.165,0.0,5.51,20.8,0.876,0.0,7.44,20.8,1.149,0.0,3.08
1729950893.06,19.2,1.146,0.0,6.22,35.2,1.143,0.0,7.56,19.2,0.905,0.0,8.87,20.8,1.241,0.0,3.78
1729950893.16,20.8,0.956,0.0,12.1,43.2,1.239,0.0,22.6,20.8,1.158,0.0,11.6,19.2,1.636,0.0,2.06
1729950893.26,19.2,0.967,0.0,10.2,40.0,1.213,0.0,11.4,19.2,0.854,0.0,10.8,20.8,1.475,0.0,1.67
1729950893.36,20.8,0.875,0.0,6.58,40.0,1.278,0.0,10.6,20.8,0.889,0.0,11.6,19.2,1.632,0.0,2.76
1729950893.46,19.2,0.92,0.0,1.26,40.0,1.185,0.0,11.0,19.2,0.825,0.0,13.3,20.8,1.551,0.0,4.36
1729950893.56,20.8,1.064,0.0,0.92,38.4,1.257,0.0,8.24,20.8,0.839,0.0,10.7,19.2,1.639,0.0,2.41
1729950893.66,19.2,0.932,0.0,1.07,43.2,1.199,0.0,15.6,20.8,1.115,0.0,9.86,20.8,1.824,0.0,3.55
1729950893.76,20.8,0.834,0.0,0.801,40.0,0.989,0.0,7.19,19.2,0.83,0.0,8.58,19.2,1.635,0.0,1.85
1729950893.86,19.2,1.187,0.0,3.26,33.6,1.368,0.0,5.5,20.8,0.901,0.0,5.66,20.8,1.753,0.0,2.56
1729950893.96,19.2,1.08,0.0,4.02,44.8,1.177,0.0,12.8,19.2,0.952,0.0,10.7,19.2,2.092,0.0,2.94
1729950894.06,20.8,1.001,0.0,1.44,36.8,1.144,0.0,20.1,19.2,0.951,0.0,5.81,20.8,1.698,0.0,2.16
1729950894.16,20.8,0.824,0.0,5.66,43.1,0.996,0.0,15.6,20.8,0.805,0.0,7.78,19.2,1.692,0.0,3.13
1729950894.26,19.2,0.682,0.0,2.23,40.0,1.05,0.0,10.1,20.8,0.67,0.0,5.64,20.8,1.489,0.0,1.75
1729950894.36,20.8,0.671,0.0,1.77,38.4,1.225,0.0,10.25,19.2,0.78,0.0,5.59,19.2,1.59,0.0,3.6
1729950894.46,19.2,0.799,0.0,3.58,39.9,1.103,0.0,10.4,20.8,0.813,0.0,5.05,20.8,1.345,0.0,2.72
1729950894.56,20.8,0.839,0.0,4.7,40.0,0.721,0.0,14.0,19.2,0.793,0.0,6.11,19.2,1.468,0.0,2.42
1729950894.66,19.2,0.897,0.0,3.42,41.6,0.833,0.0,17.6,20.8,0.709,0.0,5.35,20.8,1.268,0.0,2.11
1729950894.76,20.8,0.833,0.0,3.57,40.0,0.912,0.0,9.88,19.2,0.736,0.0,5.91,19.2,1.475,0.0,1.48
1729950894.86,19.2,0.759,0.0,2.82,41.6,0.938,0.0,2.47,20.8,0.837,0.0,5.85,20.8,1.769,0.0,2.36
1729950894.96,20.8,0.969,0.0,4.55,40.0,1.066,0.0,2.95,19.2,0.705,0.0,5.79,19.2,1.602,0.0,1.64
1729950895.06,19.2,1.19,0.0,3.16,38.4,1.028,0.0,2.59,20.8,0.865,0.0,4.98,20.8,1.812,0.0,2.54
1729950895.16,20.8,1.086,0.0,3.06,41.6,0.975,0.0,5.96,19.2,0.973,0.0,4.57,19.2,1.893,0.0,2.83
1729950895.26,19.2,0.94,0.0,2.48,40.0,0.996,0.0,2.16,20.8,0.88,0.0,5.54,20.8,1.735,0.0,1.55
1729950895.36,20.8,0.941,0.0,2.81,40.0,0.972,0.0,2.18,19.2,0.869,0.0,5.565,19.2,1.813,0.0,2.35
1729950895.46,19.2,1.392,0.0,3.72,38.4,1.248,0.0,5.33,19.2,0.84,0.0,5.59,20.8,1.71,0.0,1.62
1729950895.56,19.2,1.327,0.0,2.28,40.0,1.061,0.0,5.06,20.8,1.158,0.0,5.53,19.2,2.134,0.0,2.49
1729950895.66,20.8,1.206,0.0,3.89,41.6,1.091,0.0,1.78,20.8,1.176,0.0,5.37,20.8,2.184,0.0,2.065
1729950895.76,19.2,1.071,0.0,3.12,38.4,1.019,0.0,2.54,19.2,1.09,0.0,5.545,19.2,2.125,0.0,1.64
1729950895.86,20.8,1.113,0.0,3.32,38.4,1.116,0.0,5.293,20.8,0.964,0.0,5.72,20.8,1.928,0.0,2.88
1729950895.96,19.2,1.238,0.0,4.06,41.6,1.287,0.0,8.047,19.2,1.001,0.0,6.075,19.2,1.887,0.0,1.87
1729950896.06,19.2,1.126,0.0,2.75,38.1,1.172,0.0,10.8,20.8,1.258,0.0,6.43,20.8,2.266,0.0,2.81
1729950896.16,20.8,0.943,0.0,5.27,42.1,1.345,0.0,11.7,19.2,1.379,0.0,6.09,19.2,2.34,0.0,2.675
1729950896.26,20.8,0.856,0.0,1.96,40.0,1.129,0.0,3.13,20.8,1.121,0.0,6.2,19.2,2.093,0.0,2.54
1729950896.36,20.8,0.857,0.0,3.78,38.4,1.129,0.0,5.82,19.2,0.979,0.0,5.71,20.8,1.719,0.0,3.72
1729950896.46,19.2,0.787,0.0,3.21,40.0,1.32,0.0,8.51,20.8,0.892,0.0,5.26,19.2,1.819,0.0,1.88
1729950896.56,20.8,1.019,0.0,3.8,41.6,1.134,0.0,11.2,19.2,1.176,0.0,7.57,20.8,2.087,0.0,4.08
1729950896.66,19.2,1.001,0.0,4.32,38.4,1.202,0.0,2.44,20.8,1.284,0.0,5.98,19.2,2.192,0.0,6.28
1729950896.76,19.2,1.057,0.0,3.06,40.0,1.278,0.0,2.94,19.2,1.259,0.0,5.95,19.2,1.794,0.0,3.13
1729950896.86,20.8,1.213,0.0,4.29,40.0,1.208,0.0,3.44,20.8,1.29,0.0,5.2,20.8,1.835,0.0,2.01
1729950896.96,20.8,0.964,0.0,1.91,40.0,1.273,0.0,7.72,19.2,1.275,0.0,5.69,19.2,2.139,0.0,2.54
1729950897.06,19.2,1.012,0.0,3.34,41.6,1.274,0.0,12.0,20.8,1.421,0.0,8.64,20.8,1.821,0.0,4.64
1729950897.16,20.8,1.027,0.0,2.67,40.0,1.168,0.0,2.86,19.2,1.29,0.0,5.95,20.8,1.738,0.0,3.11
1729950897.26,19.2,1.088,0.0,1.35,38.4,1.133,0.0,1.89,20.8,1.072,0.0,5.87,20.8,1.634,0.0,2.73
1729950897.36,20.8,1.006,0.0,6.4,41.6,1.12,0.0,3.6,19.2,1.108,0.0,4.08,19.2,1.883,0.0,2.14
1729950897.46,19.2,0.865,0.0,0.867,40.0,1.128,0.0,4.68,19.2,0.925,0.0,6.39,20.8,1.707,0.0,2.29
1729950897.56,20.8,0.969,0.0,5.1,40.0,1.082,0.0,3.83,20.8,1.098,0.0,3.61,19.2,1.657,0.0,7.23
1729950897.66,19.2,1.18,0.0,4.17,40.0,1.429,0.0,2.07,19.2,0.884,0.0,2.71,20.8,1.721,0.0,3.95
1729950897.76,19.2,1.13,0.0,5.42,40.0,1.366,0.0,1.52,20.8,0.986,0.0,3.52,19.2,1.924,0.0,5.32
1729950897.86,20.8,1.178,0.0,4.36,40.0,1.252,0.0,4.83,20.8,0.886,0.0,6.13,19.2,1.749,0.0,7.89
1729950897.96,20.8,0.888,0.0,3.86,40.0,1.244,0.0,2.15,19.2,0.92,0.0,4.57,20.8,1.796,0.0,6.91
1729950898.06,19.2,1.04,0.0,4.95,41.6,1.072,0.0,4.13,20.8,0.685,0.0,4.97,20.8,1.584,0.0,11.1
1729950898.16,20.8,1.111,0.0,4.87,36.8,1.208,0.0,3.32,19.2,0.887,0.0,4.28,19.2,1.666,0.0,7.79
1729950898.26,19.2,1.067,0.0,9.32,41.6,1.201,0.0,2.04,20.8,0.902,0.0,3.69,20.8,1.784,0.0,10.2
1729950898.36,20.8,1.077,0.0,6.52,40.0,1.393,0.0,7.98,19.2,0.924,0.0,8.64,19.2,1.711,0.0,13.6
1729950898.46,19.2,0.977,0.0,5.65,40.0,1.411,0.0,3.38,20.8,0.937,0.0,6.04,20.8,1.834,0.0,13.5
1729950898.56,20.8,1.099,0.0,6.29,40.0,1.256,0.0,8.07,19.2,0.809,0.0,4.87,19.2,1.508,0.0,12.3
1729950898.66,19.2,1.054,0.0,7.02,36.8,0.784,0.0,4.33,20.8,0.942,0.0,6.87,20.8,1.654,0.0,3.08
