Time,F4C1Bitrate,F4C1Jitter,F4C1Datagrams,F4C1Delay,F4S1Bitrate,F4S1Jitter,F4S1Datagrams,F4S1Delay,F4F1Bitrate,F4F1Jitter,F4F1Datagrams,F4F1Delay,F4F2Bitrate,F4F2Jitter,F4F2Datagrams,F4F2Delay,F2F4Bitrate,F2F4Jitter,F2F4Datagrams,F2F4Delay,F2S1Bitrate,F2S1Jitter,F2S1Datagrams,F2S1Delay,F2C1Bitrate,F2C1Jitter,F2C1Datagrams,F2C1Delay,F2F1Bitrate,F2F1Jitter,F2F1Datagrams,F2F1Delay,F1F4Bitrate,F1F4Jitter,F1F4Datagrams,F1F4Delay,F1S1Bitrate,F1S1Jitter,F1S1Datagrams,F1S1Delay,F1F2Bitrate,F1F2Jitter,F1F2Datagrams,F1F2Delay,F1C1Bitrate,F1C1Jitter,F1C1Datagrams,F1C1Delay,C1F4Bitrate,C1F4Jitter,C1F4Datagrams,C1F4Delay,C1F2Bitrate,C1F2Jitter,C1F2Datagrams,C1F2Delay,C1F1Bitrate,C1F1Jitter,C1F1Datagrams,C1F1Delay,C1S1Bitrate,C1S1Jitter,C1S1Datagrams,C1S1Delay,S1F2Bitrate,S1F2Jitter,S1F2Datagrams,S1F2Delay,S1F1Bitrate,S1F1Jitter,S1F1Datagrams,S1F1Delay,S1C1Bitrate,S1C1Jitter,S1C1Datagrams,S1C1Delay,S1F4Bitrate,S1F4Jitter,S1F4Datagrams,S1F4Delay
1729951381.87,8.0,1.379,0.0,2.47,38.4,0.499,0.0,4.812,20.8,1.002,0.0,4.027,19.2,1.394,0.0,1.98,20.8,1.529,0.0,4.82,40.0,0.876,0.0,9.38,7.99,2.704,0.0,1.56,20.8,0.95,0.0,5.49,20.8,1.05,0.0,1.36,40.0,0.603,0.0,2.245,20.8,0.84,0.0,2.72,8.0,1.34,0.0,1.02,20.8,0.919,0.0,2.91,20.8,1.513,0.0,4.26,20.8,0.854,0.0,1.07,40.0,0.858,0.0,1.89,20.8,1.497,0.0,4.59,19.2,1.091,0.0,2.33,9.6,1.988,0.0,13.7,19.2,1.054,0.0,1.25
1729951381.97,8.0,1.49,0.0,4.89,40.0,0.536,0.0,0.825,19.2,1.136,0.0,4.283,20.8,1.43,0.0,3.05,19.2,1.566,0.0,6.06,40.0,0.858,0.0,9.77,8.01,2.459,0.0,2.83,19.2,0.851,0.0,6.285,19.2,0.941,0.0,1.15,40.0,0.787,0.0,2.85,19.2,0.854,0.0,2.44,8.0,1.559,0.0,1.25,19.2,0.988,0.0,4.19,19.2,1.853,0.0,2.32,19.2,1.048,0.0,1.53,40.0,0.968,0.0,3.57,19.2,1.493,0.0,4.87,20.8,1.073,0.0,2.175,8.0,1.9,0.0,15.0,20.8,0.863,0.0,2.42
1729951382.07,8.0,1.306,0.0,7.31,40.0,0.607,0.0,1.32,20.8,1.016,0.0,4.54,19.2,1.504,0.0,2.0,20.8,1.438,0.0,3.36,40.0,1.107,0.0,12.6,7.99,2.35,0.0,4.1,19.2,0.849,0.0,7.08,20.8,0.924,0.0,1.57,40.0,0.557,0.0,1.72,20.8,0.754,0.0,7.07,8.0,1.641,0.0,1.01,20.8,0.915,0.0,2.81,20.8,1.775,0.0,3.89,19.2,0.917,0.0,0.772,40.0,1.1,0.0,2.88,19.2,1.554,0.0,3.74,19.2,0.952,0.0,2.02,8.0,1.713,0.0,16.3,19.2,0.844,0.0,1.97
1729951382.17,8.0,1.23,0.0,4.11,40.0,0.542,0.0,1.14,19.2,0.947,0.0,2.42,20.8,1.277,0.0,3.08,19.2,1.448,0.0,4.37,40.0,1.109,0.0,10.7,8.01,2.084,0.0,3.725,20.8,0.928,0.0,6.735,19.2,0.992,0.0,0.936,41.6,0.739,0.0,2.9,19.2,0.71,0.0,3.79,8.01,1.891,0.0,1.02,19.2,0.729,0.0,3.22,19.2,1.691,0.0,2.76,20.8,0.814,0.0,1.44,40.0,1.03,0.0,6.27,20.8,1.383,0.0,5.78,20.8,0.759,0.0,1.84,8.0,1.84,0.0,8.36,20.8,0.99,0.0,3.38
1729951382.27,8.0,1.01,0.0,3.62,41.6,0.387,0.0,0.83,20.8,0.742,0.0,3.6,19.2,1.379,0.0,7.64,20.8,1.498,0.0,2.49,40.0,0.757,0.0,10.2,8.0,1.769,0.0,3.35,20.8,0.878,0.0,6.39,19.2,0.741,0.0,1.69,38.4,0.646,0.0,1.48,20.8,0.797,0.0,3.28,8.0,1.578,0.0,1.08,20.8,0.637,0.0,3.33,20.8,1.671,0.0,3.1,20.8,0.667,0.0,1.18,40.1,0.668,0.0,5.15,19.2,1.148,0.0,6.06,19.2,0.946,0.0,1.24,8.0,1.681,0.0,2.13,19.2,1.008,0.0,2.3
1729951382.37,9.6,1.021,0.0,5.63,40.0,0.66,0.0,1.207,19.2,1.104,0.0,3.28,20.8,1.425,0.0,1.98,19.2,1.626,0.0,3.7,40.0,1.106,0.0,10.3,8.0,2.051,0.0,2.03,19.2,1.055,0.0,5.96,20.8,0.924,0.0,0.983,40.0,0.772,0.0,1.657,19.2,0.988,0.0,3.91,8.0,1.717,0.0,0.968,19.2,0.989,0.0,3.56,19.2,1.62,0.0,3.46,20.8,0.591,0.0,1.0,40.0,0.987,0.0,2.04,20.9,1.554,0.0,5.295,20.8,1.121,0.0,2.27,8.0,1.792,0.0,2.78,20.8,1.075,0.0,1.37
1729951382.47,8.0,1.064,0.0,7.64,40.0,0.449,0.0,1.583,19.2,1.079,0.0,2.31,19.2,1.572,0.0,2.75,20.8,1.588,0.0,4.8,40.0,0.858,0.0,16.8,8.0,2.119,0.0,6.29,20.8,0.817,0.0,8.75,20.8,0.746,0.0,2.19,41.6,0.689,0.0,1.833,20.8,0.855,0.0,7.5,8.0,1.668,0.0,0.879,20.8,0.95,0.0,3.79,19.2,1.687,0.0,3.05,19.2,0.586,0.0,2.58,39.9,0.912,0.0,3.18,19.2,1.479,0.0,4.53,19.2,0.951,0.0,1.75,8.0,2.025,0.0,2.78,19.2,0.939,0.0,2.29
1729951382.57,6.4,1.168,0.0,6.57,38.4,0.589,0.0,1.96,20.8,0.868,0.0,3.98,20.8,1.355,0.0,2.0,19.2,1.791,0.0,3.85,38.4,1.187,0.0,15.6,8.0,2.489,0.0,2.52,19.2,0.895,0.0,9.44,19.2,0.994,0.0,1.03,38.4,0.554,0.0,2.01,19.2,0.858,0.0,6.74,8.01,1.465,0.0,0.778,19.2,0.824,0.0,2.78,19.2,1.757,0.0,3.65,20.8,0.872,0.0,0.98,38.4,1.152,0.0,2.11,20.8,1.352,0.0,3.34,20.8,1.036,0.0,1.93,8.0,2.449,0.0,3.19,20.8,0.836,0.0,1.2
1729951382.67,8.0,1.347,0.0,5.83,40.0,0.642,0.0,1.19,19.2,1.023,0.0,2.1,19.2,1.809,0.0,3.53,20.8,1.796,0.0,5.41,41.6,1.24,0.0,13.2,7.99,2.714,0.0,6.88,20.8,1.168,0.0,9.72,20.8,0.902,0.0,2.52,41.6,0.963,0.0,1.18,20.8,0.778,0.0,6.21,7.99,1.77,0.0,1.15,20.8,0.938,0.0,2.52,20.8,1.741,0.0,3.625,19.2,0.885,0.0,2.68,41.6,1.129,0.0,9.42,19.2,1.548,0.0,5.62,19.2,0.768,0.0,1.98,8.0,2.853,0.0,3.6,19.2,1.16,0.0,5.09
1729951382.77,9.6,1.476,0.0,6.64,41.6,0.533,0.0,2.2,20.8,0.999,0.0,3.14,20.8,1.792,0.0,5.47,19.2,1.479,0.0,4.13,40.0,1.048,0.0,9.07,9.6,2.751,0.0,3.73,19.1,1.082,0.0,10.0,20.8,0.882,0.0,1.4,38.5,0.803,0.0,1.31,19.2,0.85,0.0,6.88,8.0,1.771,0.0,1.33,19.2,0.991,0.0,4.43,19.2,1.747,0.0,3.6,20.8,0.738,0.0,0.854,40.1,0.917,0.0,2.71,20.8,1.552,0.0,4.15,19.2,0.714,0.0,1.39,7.99,2.509,0.0,2.64,20.8,1.126,0.0,1.96
1729951382.87,8.01,1.182,0.0,8.53,40.0,0.54,0.0,1.5,19.2,1.056,0.0,2.36,19.2,1.645,0.0,4.445,20.8,1.63,0.0,4.92,40.0,1.138,0.0,1.82,6.4,2.398,0.0,7.49,19.3,0.982,0.0,1.29,19.2,0.917,0.0,1.07,41.5,0.729,0.0,1.62,20.8,0.92,0.0,8.79,8.0,1.829,0.0,0.784,20.8,1.01,0.0,3.85,20.8,1.505,0.0,4.39,19.2,0.587,0.0,1.42,39.9,1.035,0.0,3.21,19.2,1.513,0.0,4.275,20.8,0.765,0.0,2.19,8.01,1.934,0.0,3.25,19.2,1.0,0.0,1.51
1729951382.97,6.39,0.994,0.0,6.09,40.0,0.584,0.0,1.87,20.8,1.145,0.0,2.82,20.8,1.602,0.0,3.42,19.2,1.708,0.0,2.77,40.0,0.889,0.0,2.57,9.6,1.823,0.0,4.44,20.8,0.818,0.0,1.35,20.8,0.668,0.0,1.52,38.4,0.747,0.0,2.35,19.2,0.85,0.0,6.08,8.0,1.835,0.0,1.4,19.2,1.074,0.0,3.27,19.2,1.577,0.0,2.9,19.2,0.564,0.0,1.1,40.0,0.977,0.0,3.71,20.8,1.526,0.0,4.4,20.8,0.674,0.0,1.27,8.0,1.682,0.0,2.53,20.8,0.87,0.0,1.97
1729951383.07,9.6,1.079,0.0,7.99,38.4,0.747,0.0,1.79,19.2,0.864,0.0,3.31,19.2,1.481,0.0,2.0,20.8,1.562,0.0,3.43,40.0,1.124,0.0,3.66,6.41,2.069,0.0,5.29,19.2,0.956,0.0,2.06,19.2,0.858,0.0,1.18,40.0,0.651,0.0,2.21,20.8,0.803,0.0,7.64,7.99,1.468,0.0,1.09,20.8,0.798,0.0,1.57,19.2,1.155,0.0,4.17,20.8,0.739,0.0,0.85,40.0,1.109,0.0,2.32,19.2,1.616,0.0,3.41,20.8,0.62,0.0,2.23,8.0,1.952,0.0,2.945,19.2,1.007,0.0,0.782
1729951383.17,8.0,1.018,0.0,10.5,40.0,0.773,0.0,1.19,20.8,0.741,0.0,2.11,20.8,1.497,0.0,3.39,19.2,1.577,0.0,3.83,38.4,1.171,0.0,2.45,7.99,1.901,0.0,10.8,20.8,1.034,0.0,1.63,20.8,0.745,0.0,3.73,40.0,0.992,0.0,1.8,19.2,0.825,0.0,10.1,8.0,1.255,0.0,0.991,19.2,0.84,0.0,3.08,20.8,1.179,0.0,5.215,19.2,0.799,0.0,2.78,40.0,1.139,0.0,3.22,20.8,1.332,0.0,5.08,19.2,0.75,0.0,3.07,8.0,2.134,0.0,3.36,20.8,1.09,0.0,1.73
1729951383.27,8.0,1.063,0.0,6.65,41.6,0.591,0.0,2.19,19.2,0.708,0.0,3.53,19.2,1.531,0.0,6.01,19.2,1.375,0.0,5.95,41.6,1.185,0.0,4.09,9.6,1.81,0.0,6.44,20.8,1.093,0.0,1.9,19.2,0.91,0.0,1.01,40.0,0.933,0.0,2.3,20.8,0.957,0.0,8.87,7.99,1.266,0.0,1.69,20.8,0.758,0.0,3.925,20.8,1.236,0.0,6.26,20.8,0.757,0.0,1.84,40.0,0.821,0.0,2.13,19.2,1.46,0.0,3.04,20.8,0.534,0.0,1.92,7.99,2.07,0.0,2.66,19.2,1.12,0.0,1.78
1729951383.37,6.4,1.09,0.0,1.67,38.4,0.605,0.0,1.35,19.2,0.502,0.0,2.23,20.8,1.56,0.0,4.565,20.8,1.597,0.0,5.63,40.0,1.004,0.0,2.56,8.0,1.844,0.0,7.03,19.2,1.008,0.0,2.01,19.2,0.886,0.0,1.65,40.0,0.792,0.0,1.62,19.2,0.959,0.0,6.69,8.01,1.131,0.0,1.04,19.2,0.915,0.0,4.77,20.8,0.981,0.0,3.21,19.2,0.599,0.0,2.02,40.0,0.934,0.0,2.08,20.8,1.458,0.0,2.775,19.2,0.699,0.0,1.36,8.0,2.206,0.0,3.22,20.8,1.025,0.0,1.385
1729951383.47,8.0,1.158,0.0,0.769,40.0,0.592,0.0,1.76,20.8,0.687,0.0,3.54,19.2,1.591,0.0,3.12,19.2,1.603,0.0,4.27,40.0,0.992,0.0,2.82,8.01,1.969,0.0,8.58,20.8,0.847,0.0,1.84,20.8,0.779,0.0,2.91,40.0,0.729,0.0,3.26,20.8,0.87,0.0,0.698,8.0,1.077,0.0,0.995,20.8,0.922,0.0,2.32,19.2,0.979,0.0,4.0,20.8,0.576,0.0,2.07,40.0,0.964,0.0,2.03,20.8,1.553,0.0,2.51,20.8,0.721,0.0,2.73,7.99,2.448,0.0,3.07,19.2,0.91,0.0,0.99
1729951383.57,8.0,1.326,0.0,1.23,40.0,0.717,0.0,1.69,20.8,0.747,0.0,2.35,20.8,1.34,0.0,2.89,20.8,1.489,0.0,4.82,38.4,1.371,0.0,4.12,7.99,2.194,0.0,10.3,19.2,0.813,0.0,2.09,19.2,0.898,0.0,3.38,40.0,0.563,0.0,1.83,19.2,0.867,0.0,1.45,8.0,1.13,0.0,0.986,19.2,0.855,0.0,2.91,20.8,1.214,0.0,4.79,20.8,0.856,0.0,4.15,40.0,1.247,0.0,1.56,19.2,1.481,0.0,4.43,19.2,0.682,0.0,3.7,8.0,2.507,0.0,2.59,20.8,0.852,0.0,0.979
1729951383.67,8.0,1.624,0.0,3.91,40.0,0.81,0.0,1.03,20.8,0.643,0.0,2.63,19.2,1.378,0.0,4.81,19.2,1.706,0.0,5.55,41.6,1.255,0.0,2.2,6.4,2.476,0.0,11.3,19.2,1.2,0.0,1.7,20.8,0.873,0.0,4.59,38.4,0.479,0.0,1.89,20.8,0.966,0.0,4.09,8.0,1.421,0.0,1.37,20.8,0.807,0.0,1.77,20.8,1.115,0.0,7.46,19.2,0.95,0.0,3.9,40.0,1.259,0.0,4.15,20.8,1.447,0.0,3.23,19.2,0.762,0.0,3.91,8.01,2.268,0.0,2.11,19.2,1.145,0.0,1.91
1729951383.77,8.0,1.51,0.0,1.58,40.0,0.783,0.0,1.53,19.2,1.119,0.0,2.8,19.2,1.753,0.0,6.73,19.2,1.144,0.0,10.1,38.4,1.279,0.0,2.89,9.62,2.029,0.0,10.4,20.8,1.207,0.0,2.24,19.2,1.004,0.0,3.69,41.6,0.608,0.0,1.72,19.2,1.2,0.0,0.772,8.0,1.492,0.0,1.09,19.2,0.99,0.0,3.0,19.2,1.304,0.0,7.9,19.2,0.893,0.0,4.8,40.0,1.142,0.0,2.62,19.2,1.647,0.0,3.83,20.8,0.722,0.0,5.08,8.0,2.063,0.0,2.06,20.8,1.27,0.0,0.996
1729951383.87,8.0,1.321,0.0,1.7,40.0,0.72,0.0,1.25,19.2,0.713,0.0,4.14,20.8,1.578,0.0,6.26,20.8,1.73,0.0,5.4,41.6,1.181,0.0,2.74,7.99,1.988,0.0,12.2,19.2,1.102,0.0,1.37,20.8,0.945,0.0,4.66,41.7,0.458,0.0,4.56,20.8,1.052,0.0,1.46,8.0,1.389,0.0,1.1,20.8,1.021,0.0,4.74,20.8,1.062,0.0,7.76,20.8,0.656,0.0,4.9,40.1,1.13,0.0,2.43,20.8,1.693,0.0,4.43,20.8,0.776,0.0,4.08,8.0,2.109,0.0,2.73,19.2,1.121,0.0,1.253
1729951383.97,9.6,1.324,0.0,1.09,40.0,0.743,0.0,2.27,20.8,0.769,0.0,3.27,19.2,1.622,0.0,4.675,19.2,1.309,0.0,3.3,38.4,1.441,0.0,2.92,7.99,2.058,0.0,14.8,20.8,0.972,0.0,1.46,19.2,1.027,0.0,5.81,40.0,0.462,0.0,2.89,19.2,1.093,0.0,1.95,8.0,1.246,0.0,1.79,19.2,0.929,0.0,2.39,19.2,1.011,0.0,9.1,19.2,0.642,0.0,5.74,39.9,1.252,0.0,2.24,19.2,1.615,0.0,2.02,19.2,0.86,0.0,6.28,7.98,2.261,0.0,2.425,20.8,0.97,0.0,1.51
1729951384.07,6.4,1.208,0.0,2.3,40.0,0.883,0.0,1.3,19.2,0.812,0.0,2.29,20.8,1.597,0.0,3.09,20.8,1.192,0.0,5.26,41.6,1.304,0.0,3.16,6.4,2.228,0.0,10.1,19.2,0.933,0.0,1.48,20.8,0.883,0.0,6.46,40.1,0.533,0.0,1.82,20.8,0.954,0.0,1.96,7.97,1.121,0.0,0.914,20.8,0.955,0.0,3.15,20.8,1.212,0.0,11.6,20.8,0.804,0.0,6.49,40.0,1.329,0.0,2.48,19.2,1.532,0.0,2.64,20.8,0.788,0.0,6.47,8.02,2.382,0.0,2.12,19.2,0.942,0.0,1.25
1729951384.17,8.0,1.409,0.0,1.29,40.0,0.772,0.0,2.02,20.8,0.768,0.0,3.2,19.1,1.31,0.0,6.06,20.8,1.385,0.0,8.46,40.0,1.074,0.0,2.41,9.6,2.288,0.0,2.58,20.8,1.082,0.0,1.15,20.8,0.718,0.0,6.4,40.0,0.474,0.0,2.73,19.2,0.87,0.0,1.82,8.04,1.097,0.0,1.2,19.2,0.688,0.0,2.45,19.2,1.195,0.0,12.6,19.2,0.786,0.0,6.41,40.0,1.183,0.0,2.09,20.8,1.549,0.0,3.26,19.2,0.685,0.0,6.34,8.02,2.478,0.0,3.65,20.8,1.152,0.0,0.989
1729951384.27,8.0,1.306,0.0,0.782,40.1,0.673,0.0,1.43,20.8,0.778,0.0,3.91,20.9,1.615,0.0,6.24,20.8,1.15,0.0,4.71,38.4,1.402,0.0,3.87,6.4,2.536,0.0,1.96,19.2,1.058,0.0,2.23,19.2,1.043,0.0,7.03,40.0,0.582,0.0,4.39,20.8,1.033,0.0,0.82,7.99,1.032,0.0,0.965,20.8,0.776,0.0,5.05,20.8,1.521,0.0,12.5,20.8,0.987,0.0,6.67,40.0,1.174,0.0,1.84,19.2,1.603,0.0,7.78,20.8,0.628,0.0,7.02,6.4,2.807,0.0,3.7,19.2,1.076,0.0,2.31
1729951384.37,8.0,1.576,0.0,1.9,40.0,0.733,0.0,1.44,19.1,0.634,0.0,2.43,19.2,1.247,0.0,2.9,19.2,1.232,0.0,6.52,38.4,1.526,0.0,5.4,9.6,2.758,0.0,1.73,20.8,1.179,0.0,4.99,20.8,1.206,0.0,8.6,40.0,0.617,0.0,2.41,19.2,1.075,0.0,1.57,8.0,1.114,0.0,0.9,19.2,0.676,0.0,2.6,19.2,1.317,0.0,12.9,19.2,1.034,0.0,7.19,38.4,1.349,0.0,2.88,19.2,1.65,0.0,3.63,19.2,0.815,0.0,8.82,7.99,2.286,0.0,2.84,20.8,1.083,0.0,0.986
1729951384.47,9.59,1.779,0.0,1.45,40.0,0.845,0.0,1.93,19.3,0.8,0.0,3.19,20.8,1.391,0.0,5.69,20.8,1.288,0.0,10.3,41.6,1.469,0.0,3.84,6.41,3.224,0.0,2.75,19.2,1.282,0.0,2.3,19.2,1.028,0.0,9.56,40.0,0.757,0.0,4.28,20.8,0.977,0.0,1.48,8.0,1.213,0.0,0.938,20.8,0.752,0.0,3.43,19.2,1.434,0.0,14.0,20.8,0.982,0.0,8.73,41.6,1.265,0.0,3.92,20.8,1.764,0.0,3.44,20.8,0.81,0.0,10.1,9.6,2.058,0.0,3.26,19.2,1.301,0.0,2.2
