Time,F1S1Bitrate,F1S1Jitter,F1S1Datagrams,F1S1Delay,F1F4Bitrate,F1F4Jitter,F1F4Datagrams,F1F4Delay,F1F2Bitrate,F1F2Jitter,F1F2Datagrams,F1F2Delay,F1C1Bitrate,F1C1Jitter,F1C1Datagrams,F1C1Delay
1729950881.46,40.1,0.492,0.0,0.945,20.8,0.717,0.0,4.59,20.8,0.938,0.0,10.3,8.0,1.642,0.0,2.23
1729950881.56,41.5,0.456,0.0,1.62,19.2,0.823,0.0,3.83,19.2,0.759,0.0,9.73,7.99,1.3,0.0,1.97
1729950881.66,40.0,0.486,0.0,0.8,20.8,0.984,0.0,3.75,19.2,0.933,0.0,10.0,8.0,1.185,0.0,1.57
1729950881.76,40.0,0.476,0.0,0.833,19.2,1.007,0.0,2.36,20.8,0.948,0.0,3.13,8.0,1.052,0.0,2.21
1729950881.86,40.0,0.566,0.0,1.21,19.2,0.82,0.0,5.29,19.2,0.835,0.0,2.43,8.0,1.07,0.0,1.6
1729950881.96,40.0,0.518,0.0,1.03,20.8,0.819,0.0,4.78,20.8,0.856,0.0,3.16,8.0,1.0,0.0,2.65
1729950882.06,40.0,0.595,0.0,1.66,20.8,0.908,0.0,4.66,19.2,0.742,0.0,2.82,9.6,0.976,0.0,2.15
1729950882.16,38.5,0.493,0.0,1.35,19.2,0.897,0.0,4.91,20.8,0.971,0.0,3.81,6.4,1.123,0.0,2.6
1729950882.26,41.5,0.621,0.0,1.06,20.8,0.984,0.0,5.12,19.2,0.971,0.0,3.05,7.99,1.414,0.0,2.33
1729950882.36,40.0,0.673,0.0,0.807,19.2,0.959,0.0,5.48,20.8,0.915,0.0,2.73,8.01,1.62,0.0,1.91
1729950882.46,40.0,0.548,0.0,1.1,19.2,0.935,0.0,7.43,19.2,0.961,0.0,3.53,9.6,1.35,0.0,2.38
1729950882.56,40.0,0.586,0.0,1.68,20.8,1.104,0.0,7.2,20.8,0.871,0.0,2.13,6.4,1.33,0.0,1.76
1729950882.66,40.1,0.549,0.0,1.73,20.8,1.166,0.0,7.03,19.2,1.003,0.0,3.42,9.6,1.257,0.0,2.59
1729950882.76,40.0,0.806,0.0,1.09,19.2,1.038,0.0,7.83,19.2,0.8,0.0,1.56,6.4,1.346,0.0,2.12
1729950882.86,40.0,0.712,0.0,0.932,19.2,0.906,0.0,9.91,20.8,0.841,0.0,2.67,9.6,1.265,0.0,1.76
1729950882.96,40.0,0.527,0.0,1.01,20.8,0.895,0.0,6.38,20.7,0.835,0.0,2.12,6.4,1.331,0.0,1.83
1729950883.06,40.0,0.579,0.0,1.17,19.2,1.044,0.0,2.5,19.3,0.696,0.0,1.54,9.6,1.401,0.0,1.05
1729950883.16,39.9,0.645,0.0,0.945,20.8,1.073,0.0,2.79,20.8,0.818,0.0,1.73,8.0,1.727,0.0,1.5
1729950883.26,38.4,0.816,0.0,1.38,19.2,0.891,0.0,1.37,19.2,0.891,0.0,1.49,6.4,1.456,0.0,1.89
1729950883.36,41.5,0.988,0.0,1.1,19.2,0.672,0.0,2.07,20.8,0.805,0.0,2.57,8.0,1.379,0.0,3.6
1729950883.46,40.1,0.628,0.0,1.19,20.8,0.658,0.0,1.12,19.2,0.81,0.0,1.68,9.6,1.287,0.0,1.25
1729950883.56,40.0,0.746,0.0,1.53,19.2,0.599,0.0,1.91,20.8,0.558,0.0,1.62,6.4,1.124,0.0,1.49
1729950883.66,40.0,0.724,0.0,0.821,20.8,0.689,0.0,1.81,19.2,0.512,0.0,2.22,9.6,1.109,0.0,1.79
1729950883.76,38.4,0.878,0.0,1.13,20.8,0.734,0.0,0.992,20.8,0.865,0.0,2.11,6.4,1.172,0.0,2.06
1729950883.86,41.5,0.777,0.0,0.911,20.8,0.696,0.0,1.79,19.2,0.892,0.0,2.53,9.6,1.438,0.0,3.57
1729950883.96,40.0,0.687,0.0,0.976,19.2,0.714,0.0,0.875,20.8,0.86,0.0,2.18,6.4,1.427,0.0,2.39
1729950884.06,38.4,0.903,0.0,0.906,20.8,0.67,0.0,1.16,19.2,0.813,0.0,1.97,9.6,1.379,0.0,1.26
1729950884.16,40.0,0.723,0.0,1.2,19.2,0.82,0.0,1.74,20.8,0.808,0.0,1.73,6.4,1.233,0.0,1.52
1729950884.26,40.0,1.026,0.0,1.65,19.2,0.897,0.0,1.71,19.2,1.041,0.0,1.43,8.0,1.07,0.0,2.15
1729950884.36,40.0,0.944,0.0,0.867,20.8,0.858,0.0,1.22,20.8,1.069,0.0,3.08,8.0,1.056,0.0,2.11
1729950884.46,39.9,0.644,0.0,2.0,20.8,0.824,0.0,1.2,19.2,1.017,0.0,1.42,8.0,1.06,0.0,1.45
1729950884.56,38.4,0.48,0.0,0.722,19.2,0.758,0.0,0.856,20.8,0.975,0.0,3.05,8.0,0.947,0.0,2.37
1729950884.66,41.7,0.502,0.0,0.944,20.8,0.844,0.0,0.882,19.2,0.947,0.0,4.12,8.0,0.999,0.0,2.24
1729950884.76,39.9,0.698,0.0,2.37,19.1,0.915,0.0,1.9,20.8,1.103,0.0,2.76,8.0,1.124,0.0,3.2
1729950884.86,41.6,0.558,0.0,0.927,19.3,1.074,0.0,1.05,19.2,1.26,0.0,3.16,8.0,1.529,0.0,1.94
1729950884.96,40.0,0.476,0.0,5.15,20.8,0.888,0.0,3.81,20.8,1.046,0.0,1.41,8.0,1.683,0.0,5.46
1729950885.06,40.0,0.373,0.0,1.38,20.8,0.837,0.0,1.79,19.2,0.924,0.0,2.44,9.6,1.254,0.0,2.3
1729950885.16,40.0,0.494,0.0,1.24,19.2,0.955,0.0,0.934,20.8,0.781,0.0,1.61,6.4,1.164,0.0,2.24
1729950885.26,39.9,0.518,0.0,4.36,20.8,0.909,0.0,1.07,19.2,0.936,0.0,1.78,8.0,1.1,0.0,4.18
1729950885.36,40.0,0.548,0.0,3.12,19.2,0.924,0.0,0.777,20.8,1.064,0.0,2.36,9.6,0.994,0.0,2.52
1729950885.46,40.0,0.494,0.0,5.07,20.8,0.771,0.0,0.905,19.2,0.895,0.0,1.18,8.0,1.129,0.0,5.04
1729950885.56,40.0,0.4,0.0,5.46,19.2,0.649,0.0,1.99,20.8,0.829,0.0,2.18,6.4,1.128,0.0,4.68
1729950885.66,40.0,0.525,0.0,5.53,19.2,0.811,0.0,0.997,19.2,0.694,0.0,1.22,9.6,1.291,0.0,4.82
1729950885.76,40.1,0.602,0.0,7.11,20.8,0.856,0.0,1.58,20.8,0.955,0.0,1.64,6.4,1.535,0.0,6.28
1729950885.86,40.0,0.619,0.0,8.45,20.8,0.97,0.0,1.85,19.2,1.177,0.0,2.13,9.6,1.557,0.0,6.54
1729950885.96,40.0,0.498,0.0,9.84,19.2,0.864,0.0,2.25,20.8,1.048,0.0,2.11,8.0,1.431,0.0,8.59
1729950886.06,39.9,0.495,0.0,0.863,20.8,0.708,0.0,2.86,19.2,0.864,0.0,3.44,8.0,1.349,0.0,8.76
1729950886.16,40.0,0.634,0.0,1.81,19.2,0.9,0.0,1.3,20.8,0.717,0.0,2.13,6.4,1.318,0.0,9.09
1729950886.26,40.0,0.696,0.0,0.864,20.8,0.928,0.0,2.98,19.2,1.046,0.0,2.77,9.6,1.286,0.0,1.73
1729950886.36,40.0,0.677,0.0,0.895,19.2,1.142,0.0,1.06,20.8,1.078,0.0,1.94,6.4,1.439,0.0,1.23
1729950886.46,40.0,0.533,0.0,0.872,20.8,0.965,0.0,4.0,19.2,1.037,0.0,3.58,9.6,1.499,0.0,2.14
1729950886.56,40.0,0.602,0.0,8.63,19.2,0.804,0.0,1.36,20.8,0.823,0.0,4.75,6.4,1.749,0.0,2.09
1729950886.66,38.4,0.64,0.0,9.11,19.2,1.07,0.0,2.3,19.2,0.881,0.0,4.73,9.6,1.378,0.0,1.96
1729950886.76,41.6,0.798,0.0,9.03,20.8,1.043,0.0,1.89,20.8,1.019,0.0,6.18,6.4,1.339,0.0,2.52
1729950886.86,40.0,0.691,0.0,1.72,19.2,1.008,0.0,1.41,19.2,1.04,0.0,3.94,9.6,1.267,0.0,1.33
1729950886.96,40.0,0.601,0.0,1.58,20.8,0.791,0.0,5.85,20.8,0.856,0.0,4.64,6.4,1.358,0.0,2.35
1729950887.06,38.4,0.674,0.0,1.53,19.2,0.643,0.0,0.829,19.2,0.586,0.0,5.96,9.6,1.373,0.0,0.845
1729950887.16,41.6,0.716,0.0,0.84,20.8,0.968,0.0,1.23,20.8,0.825,0.0,5.56,6.4,1.68,0.0,0.949
1729950887.26,38.4,0.593,0.0,0.864,19.2,0.908,0.0,3.36,19.2,0.764,0.0,7.91,8.0,1.676,0.0,1.79
1729950887.36,41.6,0.694,0.0,0.926,20.8,0.938,0.0,0.945,20.8,0.775,0.0,8.03,8.0,1.817,0.0,1.19
1729950887.46,40.0,0.629,0.0,0.988,19.2,0.871,0.0,4.37,19.2,0.775,0.0,9.06,9.6,1.958,0.0,2.42
1729950887.56,40.0,0.57,0.0,1.05,20.8,0.761,0.0,2.02,20.8,0.847,0.0,1.2,6.4,1.625,0.0,1.6
1729950887.66,38.4,0.822,0.0,1.24,19.2,0.875,0.0,2.11,19.2,0.773,0.0,1.76,8.0,1.486,0.0,1.46
1729950887.76,40.0,0.888,0.0,0.781,19.2,0.709,0.0,1.88,20.8,0.798,0.0,1.97,8.0,1.293,0.0,2.35
1729950887.86,40.1,0.79,0.0,1.67,20.8,0.864,0.0,3.7,19.2,0.97,0.0,1.83,8.0,1.268,0.0,1.28
1729950887.96,41.5,0.728,0.0,4.25,20.8,0.868,0.0,3.66,20.8,1.033,0.0,2.42,8.0,1.216,0.0,2.79
1729950888.06,38.4,0.703,0.0,2.85,19.2,0.777,0.0,1.53,19.2,0.893,0.0,1.05,8.0,1.263,0.0,1.98
1729950888.16,40.0,0.905,0.0,3.23,20.8,0.83,0.0,2.52,20.8,0.919,0.0,1.81,8.0,1.471,0.0,2.4
1729950888.26,40.0,0.906,0.0,4.21,19.2,0.835,0.0,1.83,19.2,0.945,0.0,2.41,8.0,1.64,0.0,1.25
1729950888.36,40.0,0.832,0.0,3.35,20.8,0.886,0.0,5.24,20.8,0.879,0.0,3.68,8.0,1.604,0.0,1.89
1729950888.46,40.0,0.889,0.0,3.78,19.2,0.837,0.0,2.63,19.2,0.943,0.0,2.96,8.0,1.372,0.0,1.76
1729950888.56,40.0,0.755,0.0,3.82,20.8,0.823,0.0,3.55,20.8,1.01,0.0,3.23,8.0,1.301,0.0,1.34
1729950888.66,40.0,0.881,0.0,3.87,19.2,0.643,0.0,4.63,20.8,0.836,0.0,3.18,8.0,1.228,0.0,2.07
1729950888.76,39.9,0.751,0.0,4.27,20.8,0.836,0.0,4.06,19.2,0.783,0.0,2.71,8.0,1.132,0.0,1.36
1729950888.86,38.4,0.485,0.0,3.35,19.2,0.844,0.0,6.95,19.2,0.914,0.0,3.2,8.0,1.145,0.0,1.4
1729950888.96,41.6,0.563,0.0,4.56,20.8,0.814,0.0,6.27,20.8,0.91,0.0,3.45,8.0,1.202,0.0,1.02
1729950889.06,41.6,0.46,0.0,3.79,19.2,0.763,0.0,7.74,19.2,0.917,0.0,3.06,8.0,1.326,0.0,0.746
1729950889.16,40.0,0.509,0.0,4.13,20.8,0.76,0.0,8.29,20.8,0.841,0.0,3.4,8.0,1.493,0.0,1.05
1729950889.26,40.0,0.56,0.0,3.34,19.2,0.87,0.0,8.4,19.2,0.791,0.0,2.28,9.6,1.319,0.0,1.55
1729950889.36,40.0,0.463,0.0,5.78,20.8,0.88,0.0,9.65,20.6,0.961,0.0,3.41,6.4,1.424,0.0,1.56
1729950889.46,40.0,0.625,0.0,3.38,19.2,0.816,0.0,6.91,19.4,0.955,0.0,2.39,9.6,1.262,0.0,1.79
1729950889.56,40.0,0.499,0.0,2.84,20.8,0.81,0.0,1.27,20.8,0.856,0.0,2.47,6.4,1.262,0.0,1.21
1729950889.66,38.3,0.72,0.0,3.63,19.2,0.658,0.0,2.11,19.2,0.709,0.0,2.73,8.0,1.274,0.0,0.721
1729950889.76,41.6,0.66,0.0,3.5,20.8,0.884,0.0,0.976,20.8,0.89,0.0,1.95,8.0,1.373,0.0,0.998
1729950889.86,40.0,0.653,0.0,6.64,20.8,0.933,0.0,2.74,19.2,1.1,0.0,5.76,9.6,1.564,0.0,1.43
1729950889.96,40.0,0.745,0.0,4.79,19.2,1.042,0.0,1.43,20.8,1.157,0.0,1.68,6.4,1.873,0.0,1.08
1729950890.06,40.0,0.848,0.0,4.1,19.2,1.096,0.0,2.16,19.2,1.302,0.0,2.29,8.0,2.109,0.0,2.5
1729950890.16,38.5,0.624,0.0,5.48,20.8,0.848,0.0,1.87,20.8,0.982,0.0,2.92,8.0,1.799,0.0,1.6
1729950890.26,40.0,0.708,0.0,4.96,20.8,0.962,0.0,1.02,19.2,0.857,0.0,1.53,9.6,1.675,0.0,0.741
1729950890.36,41.6,0.637,0.0,7.16,19.2,1.05,0.0,2.25,20.8,1.09,0.0,4.08,6.4,1.501,0.0,1.32
1729950890.46,40.0,0.762,0.0,5.13,19.2,1.024,0.0,0.922,19.2,1.078,0.0,1.19,9.6,1.59,0.0,1.07
1729950890.56,38.4,0.74,0.0,5.05,20.8,1.017,0.0,2.11,20.8,1.072,0.0,1.45,6.4,1.556,0.0,0.935
1729950890.66,41.6,0.696,0.0,6.17,19.2,0.996,0.0,1.88,19.2,1.07,0.0,2.58,9.6,1.624,0.0,0.843
1729950890.76,40.0,0.734,0.0,5.22,20.8,1.161,0.0,1.81,20.8,0.984,0.0,3.32,8.0,1.644,0.0,1.09
1729950890.86,40.0,0.728,0.0,5.65,20.8,1.232,0.0,1.66,19.2,1.314,0.0,3.27,8.0,1.916,0.0,0.801
1729950890.96,40.0,0.864,0.0,4.62,19.2,1.124,0.0,3.3,20.8,1.206,0.0,2.45,6.4,1.521,0.0,0.792
1729950891.06,38.4,0.81,0.0,4.65,19.2,1.192,0.0,1.9,19.2,1.338,0.0,2.16,8.0,1.135,0.0,1.425
1729950891.16,40.0,0.719,0.0,5.49,20.8,0.862,0.0,1.06,20.8,0.954,0.0,1.03,8.0,1.003,0.0,2.057
1729950891.26,40.0,0.815,0.0,4.76,20.8,1.146,0.0,1.86,19.2,0.831,0.0,1.84,8.0,0.908,0.0,2.69
1729950891.36,40.0,0.776,0.0,5.56,19.2,1.229,0.0,2.18,19.2,0.884,0.0,1.56,8.0,0.981,0.0,2.84
1729950891.46,40.0,0.881,0.0,6.1,19.2,1.105,0.0,2.86,20.8,0.851,0.0,1.98,8.0,1.14,0.0,3.69
1729950891.56,38.4,0.91,0.0,5.87,20.8,1.181,0.0,1.93,20.8,1.129,0.0,1.58,8.0,1.265,0.0,4.77
1729950891.66,41.6,0.865,0.0,5.7,19.2,1.025,0.0,0.878,19.2,0.946,0.0,0.797,8.0,1.64,0.0,3.42
1729950891.76,40.0,0.907,0.0,5.44,20.8,1.308,0.0,1.01,20.8,0.898,0.0,2.22,8.0,1.342,0.0,4.39
1729950891.86,40.0,0.816,0.0,5.39,19.2,1.134,0.0,2.07,19.2,0.732,0.0,1.37,8.0,1.203,0.0,4.22
1729950891.96,40.0,0.866,0.0,5.09,20.8,1.077,0.0,0.851,20.8,0.839,0.0,1.8,8.0,1.15,0.0,4.12
1729950892.06,40.0,0.883,0.0,5.58,19.2,0.922,0.0,0.82,19.2,1.016,0.0,2.64,8.0,1.111,0.0,6.06
1729950892.16,40.0,0.764,0.0,7.07,20.8,0.877,0.0,2.15,20.8,0.958,0.0,2.615,8.0,1.119,0.0,5.66
1729950892.26,40.0,0.823,0.0,4.77,19.2,0.784,0.0,1.2,19.2,0.924,0.0,2.59,8.0,1.059,0.0,4.7
1729950892.36,40.0,0.765,0.0,4.4,20.8,0.713,0.0,1.405,20.8,0.746,0.0,1.5,8.0,1.061,0.0,4.28
1729950892.46,40.0,0.87,0.0,5.85,20.8,0.83,0.0,1.61,19.2,0.827,0.0,2.56,8.0,1.256,0.0,4.12
1729950892.56,40.0,0.904,0.0,6.25,19.2,1.049,0.0,1.8,20.8,1.124,0.0,2.97,8.0,1.542,0.0,5.1
1729950892.66,40.0,0.637,0.0,10.9,20.8,0.763,0.0,3.245,19.2,1.038,0.0,3.38,8.0,1.418,0.0,6.46
1729950892.76,40.1,0.734,0.0,7.97,19.2,0.715,0.0,4.69,20.8,0.819,0.0,6.55,8.0,1.413,0.0,6.38
1729950892.86,40.0,0.703,0.0,8.07,20.8,0.792,0.0,2.06,19.2,0.823,0.0,5.22,8.0,1.565,0.0,5.35
1729950892.96,40.0,0.803,0.0,8.36,19.2,0.746,0.0,1.6,20.8,0.876,0.0,4.92,8.0,1.543,0.0,6.78
1729950893.06,38.4,0.638,0.0,9.86,20.8,0.986,0.0,1.14,19.2,1.035,0.0,6.56,8.0,1.827,0.0,8.76
1729950893.16,41.6,0.437,0.0,14.5,19.2,0.937,0.0,2.22,20.8,1.112,0.0,7.51,8.0,1.85,0.0,11.4
1729950893.26,39.9,0.442,0.0,11.6,19.2,0.911,0.0,10.0,19.2,1.088,0.0,12.0,8.0,1.888,0.0,10.5
1729950893.36,40.0,0.435,0.0,11.9,20.8,0.869,0.0,3.12,20.8,1.073,0.0,10.5,8.0,1.939,0.0,11.2
1729950893.46,40.0,0.518,0.0,12.1,20.8,0.935,0.0,2.62,19.2,1.097,0.0,10.6,8.0,2.018,0.0,12.2
1729950893.56,40.0,0.52,0.0,10.8,19.2,1.026,0.0,2.76,20.8,1.396,0.0,11.6,8.0,1.972,0.0,3.12
1729950893.66,41.6,0.447,0.0,11.7,20.8,0.929,0.0,2.85,19.2,1.209,0.0,2.99,8.0,1.65,0.0,9.82
1729950893.76,40.0,0.424,0.0,8.62,19.2,0.763,0.0,4.4,20.8,0.935,0.0,6.31,8.0,1.366,0.0,4.99
1729950893.86,40.0,0.561,0.0,8.38,20.8,1.088,0.0,3.25,19.2,1.182,0.0,3.68,9.6,1.559,0.0,3.54
1729950893.96,40.0,0.471,0.0,16.0,19.2,1.077,0.0,2.1,20.8,1.174,0.0,2.36,6.4,1.543,0.0,4.63
1729950894.06,40.0,0.408,0.0,5.36,20.8,0.921,0.0,8.02,19.2,1.022,0.0,3.77,9.6,1.64,0.0,3.68
1729950894.16,40.0,0.425,0.0,8.22,19.2,0.856,0.0,4.06,20.8,0.967,0.0,3.44,6.4,1.706,0.0,7.0
1729950894.26,40.0,0.464,0.0,4.83,20.8,0.725,0.0,5.21,19.2,0.923,0.0,5.84,8.0,1.781,0.0,3.19
1729950894.36,40.0,0.512,0.0,5.21,19.2,0.842,0.0,2.34,20.8,0.893,0.0,2.78,6.4,1.503,0.0,2.08
1729950894.46,40.0,0.741,0.0,5.25,20.8,0.956,0.0,1.73,19.2,0.909,0.0,2.93,9.6,1.366,0.0,2.23
1729950894.56,40.0,0.463,0.0,6.43,19.2,0.843,0.0,3.18,20.8,0.96,0.0,4.16,6.4,1.405,0.0,2.81
1729950894.66,40.0,0.486,0.0,5.14,20.8,0.84,0.0,6.62,19.2,0.919,0.0,4.08,9.6,1.195,0.0,3.56
1729950894.76,40.0,0.497,0.0,4.47,19.2,0.791,0.0,4.28,20.8,0.881,0.0,3.41,6.4,1.144,0.0,2.6
1729950894.86,40.0,0.524,0.0,6.13,19.2,1.093,0.0,4.19,19.2,1.091,0.0,2.4,8.0,1.141,0.0,2.58
1729950894.96,40.0,0.477,0.0,4.99,20.8,1.13,0.0,3.36,20.8,1.151,0.0,2.62,8.0,1.217,0.0,3.21
1729950895.06,40.0,0.543,0.0,5.37,20.8,1.079,0.0,5.28,19.2,1.222,0.0,2.57,9.6,1.383,0.0,1.85
1729950895.16,40.1,0.531,0.0,4.65,19.2,1.026,0.0,5.66,20.8,1.103,0.0,1.46,6.4,1.68,0.0,2.86
1729950895.26,40.0,0.743,0.0,4.6,19.2,0.921,0.0,6.21,19.2,0.984,0.0,3.08,9.6,1.415,0.0,2.88
1729950895.36,40.0,0.627,0.0,4.88,20.8,1.218,0.0,6.03,20.8,0.986,0.0,1.26,6.4,1.571,0.0,3.36
1729950895.46,40.0,0.68,0.0,5.0,20.8,1.267,0.0,5.51,19.2,1.335,0.0,2.47,9.6,1.55,0.0,2.61
1729950895.56,40.0,0.655,0.0,4.11,19.2,1.268,0.0,6.36,19.2,1.09,0.0,2.66,6.4,2.009,0.0,1.62
1729950895.66,38.4,0.645,0.0,4.49,19.2,1.114,0.0,7.17,20.8,1.031,0.0,1.73,9.6,1.994,0.0,3.31
1729950895.76,41.7,0.616,0.0,5.4,20.8,1.123,0.0,8.87,20.8,0.995,0.0,2.42,6.4,2.155,0.0,2.03
1729950895.86,38.4,0.807,0.0,4.6,19.2,1.439,0.0,8.74,19.2,1.047,0.0,1.28,8.0,2.121,0.0,2.58
1729950895.96,40.0,0.75,0.0,5.77,20.8,1.469,0.0,6.28,20.8,1.019,0.0,2.94,8.0,2.481,0.0,3.22
1729950896.06,41.6,0.905,0.0,5.74,19.2,1.382,0.0,1.55,19.2,1.24,0.0,1.92,8.0,2.141,0.0,2.46
1729950896.16,40.0,0.715,0.0,6.21,20.8,1.163,0.0,0.792,20.8,1.137,0.0,2.22,8.0,1.814,0.0,2.63
1729950896.26,40.0,0.638,0.0,5.66,19.2,0.897,0.0,2.41,19.2,1.021,0.0,2.29,9.6,1.7,0.0,1.65
1729950896.36,40.0,0.841,0.0,5.77,19.2,0.886,0.0,2.68,20.8,0.977,0.0,1.2,6.4,1.653,0.0,2.87
1729950896.46,40.0,0.862,0.0,8.59,20.8,1.108,0.0,1.74,19.2,0.877,0.0,1.37,9.6,1.62,0.0,2.96
1729950896.56,40.0,0.866,0.0,6.52,20.8,1.016,0.0,1.24,20.8,1.045,0.0,0.84,6.4,1.54,0.0,2.84
1729950896.66,40.0,0.789,0.0,5.94,19.2,0.949,0.0,1.7,19.2,1.115,0.0,4.11,9.6,1.689,0.0,3.91
1729950896.76,38.4,0.816,0.0,6.05,20.8,0.923,0.0,1.55,20.8,1.104,0.0,4.52,6.4,1.72,0.0,2.14
1729950896.86,40.1,1.134,0.0,6.21,20.8,1.158,0.0,1.6,19.2,1.381,0.0,2.98,9.6,1.91,0.0,3.81
1729950896.96,40.0,0.868,0.0,9.62,19.2,1.172,0.0,0.854,20.8,1.105,0.0,4.26,6.4,1.601,0.0,2.54
1729950897.06,40.0,0.924,0.0,6.39,19.2,1.089,0.0,0.931,19.2,1.14,0.0,5.45,8.0,1.304,0.0,3.28
1729950897.16,40.0,0.925,0.0,6.51,20.8,0.968,0.0,1.01,20.8,1.127,0.0,4.41,8.0,1.001,0.0,6.12
1729950897.26,40.0,0.764,0.0,6.64,19.2,0.978,0.0,0.74,19.2,1.142,0.0,3.53,8.0,1.25,0.0,5.06
1729950897.36,38.4,0.532,0.0,7.77,20.8,1.035,0.0,0.79,20.8,1.219,0.0,2.52,8.0,1.238,0.0,7.23
1729950897.46,41.6,0.494,0.0,5.9,20.8,1.126,0.0,0.798,19.2,1.128,0.0,6.77,8.0,1.258,0.0,4.36
1729950897.56,40.0,0.448,0.0,5.91,19.2,1.021,0.0,1.05,20.8,1.135,0.0,5.29,8.0,1.303,0.0,3.04
1729950897.66,41.6,0.655,0.0,5.49,20.8,1.131,0.0,1.35,20.8,1.298,0.0,3.42,8.0,1.737,0.0,1.93
1729950897.76,40.0,0.539,0.0,7.55,19.2,0.895,0.0,0.833,19.2,1.132,0.0,4.53,8.0,1.919,0.0,5.38
1729950897.86,40.0,0.555,0.0,4.85,20.8,0.938,0.0,1.35,20.8,1.238,0.0,6.07,9.6,1.692,0.0,2.75
1729950897.96,40.0,0.502,0.0,5.73,19.2,1.07,0.0,2.22,19.2,1.032,0.0,4.17,6.4,1.522,0.0,3.6
1729950898.06,40.0,0.496,0.0,5.46,19.2,1.105,0.0,1.06,19.2,1.169,0.0,2.37,9.6,1.291,0.0,4.58
1729950898.16,40.0,0.539,0.0,5.62,19.2,1.09,0.0,1.43,20.8,1.165,0.0,4.38,6.4,1.499,0.0,4.14
1729950898.26,40.0,0.745,0.0,9.63,20.8,0.868,0.0,1.72,19.2,1.024,0.0,3.42,9.6,1.381,0.0,8.79
1729950898.36,40.0,0.663,0.0,7.27,19.2,1.137,0.0,1.63,20.8,1.136,0.0,8.42,6.4,1.703,0.0,6.26
1729950898.46,40.0,0.623,0.0,9.38,19.2,1.115,0.0,2.2,20.8,0.989,0.0,5.08,9.6,1.567,0.0,5.41
1729950898.56,40.0,0.541,0.0,7.5,20.8,1.058,0.0,1.6,19.2,1.145,0.0,4.1,8.0,1.693,0.0,6.21
1729950898.66,40.0,0.54,0.0,8.53,19.2,1.007,0.0,2.33,19.2,1.106,0.0,5.77,8.0,1.859,0.0,6.05
