Time,S1F4Bitrate,S1F4Jitter,S1F4Datagrams,S1F4Delay,S1F2Bitrate,S1F2Jitter,S1F2Datagrams,S1F2Delay,S1F1Bitrate,S1F1Jitter,S1F1Datagrams,S1F1Delay,S1C1Bitrate,S1C1Jitter,S1C1Datagrams,S1C1Delay
1729950888.66,19.2,0.917,0.0,5.13,19.2,1.742,0.0,5.3,20.8,0.793,0.0,1.36,8.01,1.88,0.0,6.38
1729950888.76,20.8,1.035,0.0,4.4,20.8,1.838,0.0,4.95,19.2,0.706,0.0,2.33,7.99,2.023,0.0,5.72
1729950888.86,19.2,1.142,0.0,5.94,19.2,1.529,0.0,5.3,20.8,0.749,0.0,0.858,7.99,2.036,0.0,8.39
1729950888.96,19.2,0.94,0.0,6.28,19.2,1.57,0.0,6.74,19.2,0.613,0.0,1.63,8.02,2.21,0.0,7.37
1729950889.06,20.8,1.002,0.0,7.77,20.8,1.868,0.0,7.13,20.8,0.752,0.0,2.63,8.0,2.386,0.0,14.2
1729950889.16,20.8,0.956,0.0,8.03,20.8,1.974,0.0,7.39,19.2,0.88,0.0,2.61,8.0,2.585,0.0,10.7
1729950889.26,19.2,1.14,0.0,8.37,19.2,2.006,0.0,4.89,20.8,0.776,0.0,2.25,8.0,2.816,0.0,9.97
1729950889.36,19.2,1.066,0.0,9.32,19.2,1.85,0.0,7.45,19.2,0.957,0.0,2.59,7.99,3.416,0.0,11.5
1729950889.46,20.8,1.057,0.0,12.4,20.8,1.776,0.0,3.79,20.8,0.94,0.0,1.23,8.01,2.834,0.0,16.7
1729950889.56,19.2,0.937,0.0,1.0,19.2,1.593,0.0,4.3,20.8,0.673,0.0,1.72,8.01,2.62,0.0,11.0
1729950889.66,20.8,0.873,0.0,2.53,20.8,1.549,0.0,4.5,19.2,0.911,0.0,2.02,7.99,2.372,0.0,13.6
1729950889.76,19.2,0.992,0.0,1.48,19.2,1.527,0.0,2.75,20.8,0.845,0.0,1.36,8.01,2.488,0.0,11.1
1729950889.86,20.8,1.099,0.0,2.22,20.8,1.319,0.0,11.1,19.2,0.841,0.0,4.84,7.99,2.835,0.0,13.9
1729950889.96,19.2,0.9,0.0,1.26,19.2,1.264,0.0,3.45,20.8,0.787,0.0,1.69,8.01,2.873,0.0,11.1
1729950890.06,20.8,0.995,0.0,0.898,20.8,1.286,0.0,3.69,19.2,0.727,0.0,3.07,7.99,3.503,0.0,2.31
1729950890.16,20.8,0.998,0.0,1.56,20.8,1.649,0.0,5.66,20.8,0.931,0.0,2.5,8.01,3.397,0.0,2.46
1729950890.26,19.2,0.829,0.0,1.44,19.2,1.65,0.0,3.48,19.2,0.899,0.0,1.94,7.99,3.029,0.0,1.6
1729950890.36,20.8,1.053,0.0,1.73,20.8,1.634,0.0,9.06,19.2,0.944,0.0,3.5,8.01,2.628,0.0,2.77
1729950890.46,19.2,0.925,0.0,3.7,19.2,1.491,0.0,2.92,20.8,0.762,0.0,1.34,6.39,2.599,0.0,3.29
1729950890.56,20.8,0.952,0.0,0.929,20.8,1.453,0.0,7.15,19.2,0.827,0.0,3.05,8.01,2.78,0.0,3.1
1729950890.66,19.2,0.991,0.0,1.28,19.2,1.735,0.0,7.5,20.8,1.071,0.0,2.13,8.0,2.824,0.0,4.32
1729950890.76,20.8,0.927,0.0,0.806,20.8,1.642,0.0,8.49,20.8,1.025,0.0,2.66,7.99,2.956,0.0,2.79
1729950890.86,19.3,1.211,0.0,2.22,19.2,1.719,0.0,8.29,19.2,1.058,0.0,2.11,8.0,3.324,0.0,4.27
1729950890.96,20.8,1.135,0.0,2.56,20.8,1.585,0.0,6.12,20.8,1.007,0.0,1.83,8.0,3.489,0.0,4.76
1729950891.06,19.2,1.112,0.0,2.06,19.2,1.546,0.0,6.68,19.2,0.915,0.0,2.83,8.01,3.837,0.0,2.96
1729950891.16,20.8,1.008,0.0,2.19,20.8,1.787,0.0,6.91,19.2,1.226,0.0,2.67,9.6,3.302,0.0,2.91
1729950891.26,19.2,0.954,0.0,1.15,19.2,1.688,0.0,6.31,20.8,1.181,0.0,3.72,7.99,3.189,0.0,2.58
1729950891.36,20.8,1.14,0.0,1.58,20.8,1.668,0.0,7.08,19.2,1.05,0.0,4.64,8.01,2.612,0.0,3.39
1729950891.46,19.2,1.191,0.0,1.39,19.2,1.638,0.0,3.62,20.8,0.888,0.0,3.75,7.99,2.274,0.0,2.66
1729950891.56,20.8,1.135,0.0,2.06,20.8,1.51,0.0,5.76,19.2,0.829,0.0,5.31,8.0,2.263,0.0,4.0
1729950891.66,19.2,1.206,0.0,4.08,19.2,1.862,0.0,2.11,20.8,1.112,0.0,4.985,8.01,2.414,0.0,4.36
1729950891.76,20.8,1.169,0.0,2.01,20.8,1.687,0.0,7.17,19.2,1.042,0.0,4.66,8.0,2.46,0.0,3.3
1729950891.86,19.2,1.193,0.0,2.38,19.2,1.689,0.0,3.95,20.8,0.964,0.0,5.025,8.0,2.424,0.0,3.76
1729950891.96,20.9,1.132,0.0,1.0,20.8,1.505,0.0,5.02,19.2,0.737,0.0,5.39,7.99,2.709,0.0,1.64
1729950892.06,19.2,1.16,0.0,2.02,19.2,1.476,0.0,3.2,20.8,1.134,0.0,5.635,8.0,2.395,0.0,4.03
1729950892.16,20.8,1.038,0.0,2.23,20.8,2.019,0.0,11.4,19.2,0.825,0.0,5.88,8.01,2.363,0.0,5.99
1729950892.26,19.2,1.024,0.0,2.05,19.2,1.735,0.0,5.16,20.8,0.911,0.0,6.29,8.0,1.922,0.0,4.22
1729950892.36,20.8,1.105,0.0,2.08,20.8,1.563,0.0,2.78,20.8,0.781,0.0,4.81,8.0,1.783,0.0,4.45
1729950892.46,19.2,1.156,0.0,2.32,19.2,1.593,0.0,4.52,19.2,0.691,0.0,3.3,7.99,1.804,0.0,3.77
1729950892.56,19.2,1.316,0.0,1.4,19.2,1.504,0.0,7.24,20.8,0.607,0.0,3.44,8.0,2.192,0.0,4.78
1729950892.66,20.8,0.964,0.0,5.18,20.8,2.126,0.0,15.6,19.2,0.795,0.0,4.66,8.01,2.283,0.0,8.95
1729950892.76,20.8,0.93,0.0,0.785,20.8,1.818,0.0,12.3,19.2,0.868,0.0,6.68,7.99,2.374,0.0,3.96
1729950892.86,19.2,1.116,0.0,0.992,19.2,1.598,0.0,12.95,20.8,0.804,0.0,6.18,8.0,2.521,0.0,3.16
1729950892.96,20.8,0.903,0.0,1.2,19.2,1.802,0.0,13.6,20.8,0.646,0.0,6.25,8.01,2.727,0.0,2.32
1729950893.06,17.6,1.181,0.0,2.97,19.2,1.882,0.0,16.1,19.2,0.815,0.0,7.28,6.4,2.991,0.0,3.03
1729950893.16,20.8,1.244,0.0,6.085,20.8,2.032,0.0,20.35,20.8,1.056,0.0,7.98,9.59,3.753,0.0,18.1
1729950893.26,20.8,1.159,0.0,9.2,20.8,1.941,0.0,24.6,19.2,0.931,0.0,11.4,7.99,3.967,0.0,3.38
1729950893.36,19.2,1.211,0.0,6.1,19.2,1.959,0.0,22.4,20.8,0.862,0.0,10.3,8.01,4.101,0.0,1.96
1729950893.46,20.7,1.235,0.0,3.0,20.8,1.854,0.0,8.38,19.2,0.944,0.0,10.6,8.01,4.021,0.0,3.27
1729950893.56,19.2,1.18,0.0,2.64,19.2,1.826,0.0,1.64,19.2,0.853,0.0,12.6,6.39,4.004,0.0,1.67
1729950893.66,20.8,1.053,0.0,3.725,20.8,1.975,0.0,13.5,20.8,0.787,0.0,8.76,9.6,3.932,0.0,9.33
1729950893.76,19.2,0.876,0.0,4.81,19.2,1.615,0.0,3.71,19.2,0.898,0.0,10.1,8.0,3.35,0.0,4.4
1729950893.86,19.2,1.105,0.0,3.15,19.2,1.926,0.0,4.44,20.8,0.768,0.0,5.37,6.4,3.338,0.0,2.39
1729950893.96,20.8,1.047,0.0,5.285,20.8,1.883,0.0,7.07,20.8,1.022,0.0,4.3,7.96,3.274,0.0,15.0
1729950894.06,20.8,0.956,0.0,7.42,19.2,1.565,0.0,2.08,19.2,0.787,0.0,5.07,8.04,3.112,0.0,5.38
1729950894.16,19.2,0.774,0.0,3.7,20.8,1.437,0.0,12.8,20.8,0.838,0.0,4.14,9.6,3.027,0.0,9.41
1729950894.26,20.8,0.797,0.0,5.23,20.8,1.231,0.0,1.68,19.2,0.875,0.0,7.67,8.0,2.891,0.0,2.68
1729950894.36,19.2,0.801,0.0,2.94,20.8,1.552,0.0,2.335,20.8,0.762,0.0,3.81,8.0,2.841,0.0,2.57
1729950894.46,20.8,1.0,0.0,1.9,19.2,1.308,0.0,2.99,19.2,0.738,0.0,3.81,6.4,2.721,0.0,3.3
1729950894.56,19.2,0.921,0.0,2.84,20.8,1.414,0.0,8.05,20.8,0.803,0.0,4.89,8.0,2.832,0.0,5.93
1729950894.66,20.8,0.739,0.0,6.79,19.2,1.271,0.0,2.59,19.2,0.659,0.0,5.76,8.0,2.448,0.0,8.56
1729950894.76,20.8,0.859,0.0,4.34,19.2,1.354,0.0,1.76,20.8,0.893,0.0,3.71,8.0,2.014,0.0,7.37
1729950894.86,19.2,0.77,0.0,4.19,20.8,1.498,0.0,2.49,19.2,0.907,0.0,4.59,8.0,1.8,0.0,7.01
1729950894.96,19.2,0.933,0.0,3.19,19.2,1.318,0.0,3.22,19.2,1.047,0.0,3.36,8.0,1.715,0.0,9.12
1729950895.06,20.8,0.918,0.0,4.41,20.8,1.39,0.0,2.99,20.8,1.045,0.0,4.44,8.0,2.113,0.0,10.96
1729950895.16,19.2,0.92,0.0,5.57,19.1,1.307,0.0,2.87,19.2,0.941,0.0,3.64,8.0,2.03,0.0,12.8
1729950895.26,20.8,0.807,0.0,7.01,20.9,1.585,0.0,1.47,20.8,1.151,0.0,3.46,7.99,2.168,0.0,11.5
1729950895.36,19.2,0.846,0.0,6.27,19.2,1.652,0.0,2.015,19.2,1.139,0.0,4.08,9.6,2.378,0.0,11.4
1729950895.46,20.8,1.085,0.0,6.02,20.8,1.511,0.0,2.56,20.8,1.047,0.0,3.99,8.0,2.493,0.0,12.1
1729950895.56,19.2,1.048,0.0,6.33,19.2,1.51,0.0,2.5,19.2,0.914,0.0,4.2,8.0,2.549,0.0,13.25
1729950895.66,20.8,1.1,0.0,6.77,20.8,1.56,0.0,3.79,20.8,0.853,0.0,3.03,8.0,2.817,0.0,14.4
1729950895.76,19.2,0.993,0.0,9.54,19.2,1.655,0.0,1.52,19.2,1.133,0.0,4.56,8.0,2.99,0.0,2.09
1729950895.86,20.8,1.005,0.0,9.01,20.8,1.582,0.0,2.375,20.8,1.183,0.0,3.74,6.4,3.151,0.0,2.25
1729950895.96,19.2,1.131,0.0,9.76,19.2,2.022,0.0,3.23,19.2,1.126,0.0,2.87,9.6,3.182,0.0,2.23
1729950896.06,20.8,1.237,0.0,6.81,20.8,1.539,0.0,3.3,20.8,1.203,0.0,5.25,6.41,3.404,0.0,2.69
1729950896.16,19.2,1.094,0.0,1.69,20.8,1.804,0.0,3.37,19.2,0.944,0.0,3.54,9.6,3.375,0.0,4.76
1729950896.26,20.8,1.03,0.0,2.27,19.2,1.767,0.0,5.53,19.2,0.821,0.0,5.31,8.0,3.908,0.0,1.92
1729950896.36,19.2,0.861,0.0,1.84,20.8,1.646,0.0,2.53,20.8,0.864,0.0,4.85,6.4,3.849,0.0,2.51
1729950896.46,20.8,1.283,0.0,0.888,19.2,1.97,0.0,3.03,20.8,1.122,0.0,4.33,9.59,3.634,0.0,1.57
1729950896.56,19.2,1.184,0.0,1.34,20.8,1.622,0.0,1.81,20.8,1.063,0.0,7.29,8.01,3.626,0.0,2.31
1729950896.66,20.8,1.136,0.0,1.31,19.2,1.595,0.0,3.06,19.2,0.894,0.0,4.75,7.99,3.795,0.0,3.05
1729950896.76,19.2,1.054,0.0,2.31,20.8,1.677,0.0,2.84,20.8,0.817,0.0,5.55,8.0,3.857,0.0,3.0
1729950896.86,20.8,1.137,0.0,1.79,19.2,2.074,0.0,3.38,19.2,0.968,0.0,5.8,6.4,4.076,0.0,4.1
1729950896.96,20.8,1.428,0.0,1.98,20.8,2.039,0.0,4.47,20.8,1.305,0.0,6.07,9.61,4.1,0.0,3.36
1729950897.06,19.2,1.323,0.0,1.27,19.2,1.818,0.0,2.13,19.2,1.092,0.0,8.5,8.0,4.127,0.0,2.555
1729950897.16,20.8,1.158,0.0,1.08,20.8,1.664,0.0,4.07,19.2,0.989,0.0,5.09,8.0,3.192,0.0,1.75
1729950897.26,19.2,0.971,0.0,1.16,19.2,1.865,0.0,2.57,20.8,0.791,0.0,5.74,8.0,2.856,0.0,2.505
1729950897.36,20.8,1.088,0.0,1.05,20.8,1.94,0.0,3.54,19.2,1.07,0.0,6.27,6.41,2.821,0.0,3.26
1729950897.46,19.2,1.22,0.0,1.52,19.2,1.804,0.0,5.36,20.8,1.009,0.0,7.85,9.6,2.333,0.0,2.8
1729950897.56,20.8,1.187,0.0,0.916,20.8,1.66,0.0,2.81,20.8,0.859,0.0,5.7,7.98,2.296,0.0,2.34
1729950897.66,19.2,1.201,0.0,1.87,19.2,1.558,0.0,3.3,19.2,0.872,0.0,5.01,6.41,2.476,0.0,3.25
1729950897.76,20.8,1.14,0.0,1.2,20.8,2.155,0.0,1.57,19.2,0.959,0.0,5.47,9.59,2.686,0.0,1.86
1729950897.86,19.2,1.064,0.0,1.16,19.2,2.192,0.0,8.24,20.8,1.097,0.0,8.14,6.4,3.051,0.0,3.38
1729950897.96,20.8,1.262,0.0,2.02,20.8,2.005,0.0,2.39,19.2,1.27,0.0,5.75,9.61,2.566,0.0,2.86
1729950898.06,19.2,1.203,0.0,0.814,19.2,1.615,0.0,3.49,20.8,1.05,0.0,5.85,8.0,2.046,0.0,2.07
1729950898.16,19.2,1.13,0.0,0.993,19.2,1.638,0.0,3.51,20.7,0.859,0.0,5.27,6.39,2.009,0.0,2.37
1729950898.26,20.8,0.954,0.0,1.31,19.2,1.229,0.0,2.04,19.3,0.911,0.0,5.57,8.0,2.122,0.0,1.64
1729950898.36,19.2,1.008,0.0,0.779,20.8,1.378,0.0,17.3,20.8,1.063,0.0,9.59,8.0,2.027,0.0,2.82
1729950898.46,20.8,1.074,0.0,0.764,20.8,1.553,0.0,8.26,19.2,1.282,0.0,7.6,8.01,2.313,0.0,2.87
1729950898.56,19.2,0.903,0.0,1.0,20.8,1.357,0.0,7.87,20.8,1.081,0.0,7.34,7.99,2.293,0.0,2.03
1729950898.66,20.8,0.87,0.0,1.33,19.2,1.247,0.0,8.81,19.2,1.058,0.0,7.44,8.01,2.619,0.0,2.3
