Time,F4C1Bitrate,F4C1Jitter,F4C1Datagrams,F4C1Delay,F4S1Bitrate,F4S1Jitter,F4S1Datagrams,F4S1Delay,F4F1Bitrate,F4F1Jitter,F4F1Datagrams,F4F1Delay,F4F2Bitrate,F4F2Jitter,F4F2Datagrams,F4F2Delay
1729951383.07,9.6,1.079,0.0,7.99,38.4,0.747,0.0,1.79,19.2,0.864,0.0,3.31,19.2,1.481,0.0,2.0
1729951383.17,8.0,1.018,0.0,10.5,40.0,0.773,0.0,1.19,20.8,0.741,0.0,2.11,20.8,1.497,0.0,3.39
1729951383.27,8.0,1.063,0.0,6.65,41.6,0.591,0.0,2.19,19.2,0.708,0.0,3.53,19.2,1.531,0.0,6.01
1729951383.37,6.4,1.09,0.0,1.67,38.4,0.605,0.0,1.35,19.2,0.502,0.0,2.23,20.8,1.56,0.0,4.565
1729951383.47,8.0,1.158,0.0,0.769,40.0,0.592,0.0,1.76,20.8,0.687,0.0,3.54,19.2,1.591,0.0,3.12
1729951383.57,8.0,1.326,0.0,1.23,40.0,0.717,0.0,1.69,20.8,0.747,0.0,2.35,20.8,1.34,0.0,2.89
1729951383.67,8.0,1.624,0.0,3.91,40.0,0.81,0.0,1.03,20.8,0.643,0.0,2.63,19.2,1.378,0.0,4.81
1729951383.77,8.0,1.51,0.0,1.58,40.0,0.783,0.0,1.53,19.2,1.119,0.0,2.8,19.2,1.753,0.0,6.73
1729951383.87,8.0,1.321,0.0,1.7,40.0,0.72,0.0,1.25,19.2,0.713,0.0,4.14,20.8,1.578,0.0,6.26
1729951383.97,9.6,1.324,0.0,1.09,40.0,0.743,0.0,2.27,20.8,0.769,0.0,3.27,19.2,1.622,0.0,4.675
1729951384.07,6.4,1.208,0.0,2.3,40.0,0.883,0.0,1.3,19.2,0.812,0.0,2.29,20.8,1.597,0.0,3.09
1729951384.17,8.0,1.409,0.0,1.29,40.0,0.772,0.0,2.02,20.8,0.768,0.0,3.2,19.1,1.31,0.0,6.06
1729951384.27,8.0,1.306,0.0,0.782,40.1,0.673,0.0,1.43,20.8,0.778,0.0,3.91,20.9,1.615,0.0,6.24
1729951384.37,8.0,1.576,0.0,1.9,40.0,0.733,0.0,1.44,19.1,0.634,0.0,2.43,19.2,1.247,0.0,2.9
1729951384.47,9.59,1.779,0.0,1.45,40.0,0.845,0.0,1.93,19.3,0.8,0.0,3.19,20.8,1.391,0.0,5.69
1729951384.57,6.41,1.617,0.0,1.63,40.1,0.871,0.0,1.2,20.8,0.776,0.0,3.97,20.8,1.399,0.0,9.62
1729951384.67,9.6,1.378,0.0,1.78,40.0,0.785,0.0,2.16,20.8,0.786,0.0,5.24,19.2,1.211,0.0,4.61
1729951384.77,6.4,1.169,0.0,1.13,40.0,0.665,0.0,1.03,19.2,0.671,0.0,5.5,20.8,1.096,0.0,7.47
1729951384.87,8.0,1.13,0.0,1.06,40.0,0.796,0.0,1.54,20.8,0.557,0.0,3.63,19.2,1.089,0.0,2.94
1729951384.97,8.01,1.08,0.0,0.932,40.0,0.669,0.0,2.0,19.2,0.902,0.0,4.03,20.8,1.158,0.0,4.38
1729951385.07,7.98,1.205,0.0,0.931,38.4,0.659,0.0,1.88,20.8,0.835,0.0,4.66,19.2,1.146,0.0,9.67
1729951385.17,8.01,1.301,0.0,0.742,40.0,0.367,0.0,1.96,19.2,0.867,0.0,6.25,20.8,1.253,0.0,7.5
1729951385.27,8.0,1.426,0.0,0.898,41.6,0.336,0.0,1.44,20.8,0.804,0.0,9.83,19.2,1.238,0.0,13.2
1729951385.37,8.0,1.387,0.0,0.783,40.0,0.469,0.0,0.735,19.2,0.824,0.0,8.12,20.8,1.452,0.0,9.61
1729951385.47,8.0,1.41,0.0,1.04,41.6,0.375,0.0,1.9,20.8,0.948,0.0,8.5,19.2,1.527,0.0,9.18
1729951385.57,8.0,1.385,0.0,1.51,38.4,0.489,0.0,1.52,19.2,0.969,0.0,11.0,20.8,1.585,0.0,16.8
1729951385.67,8.0,1.247,0.0,2.31,41.6,0.427,0.0,1.9,19.2,0.886,0.0,10.2,19.2,1.364,0.0,13.9
1729951385.77,8.0,1.274,0.0,1.14,40.0,0.494,0.0,1.08,20.8,0.805,0.0,1.41,20.8,1.627,0.0,10.8
1729951385.87,8.0,1.267,0.0,1.49,40.0,0.423,0.0,2.19,19.2,0.749,0.0,2.17,19.2,1.385,0.0,11.2
1729951385.97,8.0,1.276,0.0,0.836,38.5,0.457,0.0,1.35,20.8,0.889,0.0,1.27,20.8,1.399,0.0,10.7
1729951386.07,8.0,1.345,0.0,1.28,41.6,0.405,0.0,1.42,20.8,0.798,0.0,2.59,19.2,1.396,0.0,15.0
1729951386.17,8.0,1.425,0.0,1.2,40.0,0.451,0.0,1.33,19.2,0.777,0.0,2.22,20.8,1.377,0.0,15.1
1729951386.27,8.0,1.616,0.0,0.751,40.0,0.489,0.0,1.25,19.2,0.909,0.0,1.98,19.2,1.657,0.0,15.6
1729951386.37,8.01,1.355,0.0,2.03,40.0,0.464,0.0,4.14,20.8,0.705,0.0,1.44,20.8,1.321,0.0,10.5
1729951386.47,8.0,1.23,0.0,2.0,38.4,0.398,0.0,1.02,20.8,0.894,0.0,0.943,20.8,1.363,0.0,3.04
1729951386.57,7.99,1.208,0.0,1.2,41.6,0.462,0.0,2.31,19.2,0.952,0.0,4.76,19.2,1.5,0.0,5.2
1729951386.67,8.0,1.125,0.0,2.07,40.0,0.518,0.0,1.33,19.2,0.95,0.0,1.23,19.2,1.61,0.0,3.26
1729951386.77,8.0,1.178,0.0,1.17,40.0,0.557,0.0,1.48,20.8,0.924,0.0,1.88,20.8,1.542,0.0,2.22
1729951386.87,8.0,1.147,0.0,2.44,40.0,0.418,0.0,5.23,20.8,0.838,0.0,1.42,19.2,1.507,0.0,3.22
1729951386.97,8.0,1.421,0.0,0.936,38.4,0.457,0.0,1.23,19.2,1.082,0.0,2.57,20.8,1.574,0.0,2.89
1729951387.07,8.0,1.631,0.0,2.27,41.6,0.435,0.0,3.12,19.2,1.146,0.0,1.05,19.2,1.755,0.0,3.28
1729951387.17,8.0,1.497,0.0,1.36,38.4,0.675,0.0,3.1,20.8,1.074,0.0,0.747,20.8,1.644,0.0,2.16
1729951387.27,8.0,1.534,0.0,1.33,41.6,0.63,0.0,4.1,19.2,1.005,0.0,2.69,19.2,1.911,0.0,3.2
1729951387.37,8.0,1.306,0.0,1.23,38.4,0.505,0.0,6.99,20.8,0.858,0.0,3.22,20.8,1.594,0.0,3.43
1729951387.47,8.0,1.41,0.0,1.05,41.6,0.601,0.0,5.07,19.2,1.06,0.0,2.39,19.2,1.942,0.0,2.3
1729951387.57,8.0,1.34,0.0,1.11,40.0,0.493,0.0,6.04,20.8,1.039,0.0,3.67,20.8,1.825,0.0,4.02
1729951387.67,8.0,1.569,0.0,0.892,40.0,0.695,0.0,7.16,19.2,0.725,0.0,1.85,19.2,1.79,0.0,1.76
1729951387.77,8.0,1.548,0.0,1.72,40.0,0.618,0.0,10.3,20.8,0.718,0.0,3.76,20.8,1.871,0.0,3.51
1729951387.87,8.0,1.746,0.0,1.24,38.4,0.564,0.0,9.66,20.8,0.64,0.0,3.08,19.2,1.593,0.0,2.13
1729951387.97,8.0,1.31,0.0,1.31,40.0,0.665,0.0,6.35,19.2,0.676,0.0,2.55,20.8,1.877,0.0,2.68
1729951388.07,9.6,1.035,0.0,1.72,40.0,0.68,0.0,0.965,20.8,0.831,0.0,3.93,19.2,1.644,0.0,3.41
1729951388.17,6.4,1.163,0.0,1.26,40.0,0.733,0.0,2.16,19.2,0.776,0.0,1.8,19.2,1.528,0.0,1.71
1729951388.27,9.6,0.981,0.0,1.38,40.0,0.744,0.0,6.55,20.8,0.693,0.0,2.16,20.8,1.549,0.0,2.77
1729951388.37,6.4,1.069,0.0,1.63,40.0,0.641,0.0,2.43,19.2,0.591,0.0,1.9,19.2,1.427,0.0,2.34
1729951388.47,9.6,1.074,0.0,1.42,40.0,0.712,0.0,1.89,20.8,0.581,0.0,1.76,20.8,1.604,0.0,2.66
1729951388.57,6.4,1.227,0.0,2.17,40.0,0.739,0.0,0.744,19.2,0.719,0.0,1.38,19.2,1.385,0.0,2.74
1729951388.67,9.6,1.388,0.0,1.03,40.0,0.916,0.0,3.37,20.8,0.803,0.0,0.956,20.8,1.371,0.0,1.96
1729951388.77,6.4,1.695,0.0,2.39,40.0,0.799,0.0,2.12,19.2,0.722,0.0,1.72,20.8,1.13,0.0,4.13
1729951388.87,9.6,1.264,0.0,1.72,40.0,0.717,0.0,1.55,20.8,0.604,0.0,1.54,19.2,1.184,0.0,1.95
1729951388.97,6.4,1.085,0.0,2.58,40.0,0.812,0.0,2.44,19.2,0.64,0.0,1.11,20.8,1.181,0.0,3.49
1729951389.07,7.99,0.942,0.0,3.25,40.0,0.833,0.0,1.33,20.8,0.735,0.0,1.72,19.2,1.325,0.0,2.32
1729951389.17,8.01,0.905,0.0,3.67,40.0,0.867,0.0,3.72,19.2,0.792,0.0,1.02,20.8,1.144,0.0,2.29
1729951389.27,8.0,0.858,0.0,5.28,40.0,0.711,0.0,1.33,20.8,0.662,0.0,2.13,19.2,1.079,0.0,5.34
1729951389.37,8.0,0.874,0.0,5.86,40.0,0.58,0.0,1.73,19.2,0.589,0.0,1.03,20.8,1.049,0.0,2.16
1729951389.47,8.0,1.039,0.0,6.12,38.4,0.356,0.0,2.03,19.2,0.6,0.0,1.55,19.2,1.09,0.0,3.64
1729951389.57,8.0,1.299,0.0,7.32,41.6,0.386,0.0,1.45,20.8,0.871,0.0,2.03,20.8,1.382,0.0,1.85
1729951389.67,8.0,1.228,0.0,7.95,40.0,0.383,0.0,2.64,20.8,0.855,0.0,2.08,19.2,1.319,0.0,4.38
1729951389.77,8.0,1.276,0.0,10.9,40.0,0.38,0.0,1.88,19.2,0.994,0.0,3.56,20.8,1.382,0.0,5.14
1729951389.87,8.0,1.223,0.0,9.65,40.0,0.554,0.0,2.04,20.8,0.738,0.0,3.96,19.2,1.245,0.0,6.22
1729951389.97,8.0,1.077,0.0,6.63,41.6,0.42,0.0,2.45,19.2,0.632,0.0,2.24,20.8,1.415,0.0,3.28
1729951390.07,8.0,1.18,0.0,1.65,40.0,0.482,0.0,1.39,20.8,0.864,0.0,1.46,19.2,1.624,0.0,2.08
1729951390.17,8.0,1.187,0.0,2.45,40.0,0.312,0.0,2.2,19.2,1.014,0.0,4.5,20.8,1.465,0.0,7.07
1729951390.27,8.0,1.205,0.0,2.52,40.0,0.381,0.0,1.09,20.8,0.847,0.0,5.08,19.2,1.412,0.0,7.13
1729951390.37,8.0,1.281,0.0,1.68,40.0,0.391,0.0,2.68,19.2,0.783,0.0,3.27,20.8,1.196,0.0,6.04
1729951390.47,8.0,1.516,0.0,2.82,40.0,0.511,0.0,1.78,19.2,0.732,0.0,4.02,19.2,1.436,0.0,6.08
1729951390.57,8.0,1.371,0.0,1.51,40.0,0.515,0.0,2.04,20.8,1.021,0.0,3.52,20.8,1.415,0.0,5.69
1729951390.67,8.01,1.216,0.0,2.16,38.4,0.453,0.0,2.17,19.2,0.94,0.0,4.73,19.2,1.381,0.0,6.93
1729951390.77,8.0,1.182,0.0,1.65,41.6,0.528,0.0,1.38,20.8,0.977,0.0,6.12,20.8,1.423,0.0,10.5
1729951390.87,8.0,1.038,0.0,1.1,39.9,0.401,0.0,2.94,19.2,0.741,0.0,5.4,19.2,1.232,0.0,8.85
1729951390.97,8.0,1.026,0.0,2.32,40.0,0.598,0.0,1.28,20.8,0.602,0.0,6.06,20.8,1.328,0.0,8.51
1729951391.07,9.6,0.961,0.0,1.4,40.0,0.586,0.0,2.82,19.2,0.839,0.0,5.23,19.2,1.42,0.0,8.53
1729951391.17,6.4,1.202,0.0,2.89,40.0,0.479,0.0,2.39,20.8,0.829,0.0,6.83,20.8,1.525,0.0,9.95
1729951391.27,8.0,1.299,0.0,1.75,40.0,0.454,0.0,1.84,19.2,0.824,0.0,8.5,19.2,1.548,0.0,13.8
1729951391.37,8.0,1.537,0.0,1.98,40.0,0.565,0.0,2.09,20.8,0.738,0.0,7.39,20.8,1.495,0.0,12.7
1729951391.47,8.0,1.651,0.0,5.95,40.0,0.577,0.0,1.29,19.2,0.964,0.0,7.63,19.2,1.773,0.0,15.4
1729951391.57,8.0,1.469,0.0,1.71,40.0,0.514,0.0,2.62,20.8,1.065,0.0,8.49,20.8,1.769,0.0,13.6
1729951391.67,8.0,1.418,0.0,2.67,40.0,0.479,0.0,1.82,19.2,0.973,0.0,9.91,19.2,1.717,0.0,13.1
1729951391.77,8.0,1.358,0.0,1.91,40.0,0.497,0.0,1.53,20.8,0.861,0.0,6.52,20.8,1.511,0.0,11.8
1729951391.87,8.0,1.63,0.0,2.44,40.0,0.597,0.0,1.91,19.2,0.615,0.0,3.05,19.2,1.659,0.0,12.5
1729951391.97,8.0,1.617,0.0,4.04,40.0,0.543,0.0,1.71,20.8,0.645,0.0,2.36,20.8,1.677,0.0,18.1
1729951392.07,8.0,1.788,0.0,1.9,40.0,0.761,0.0,1.58,19.2,0.546,0.0,2.59,19.2,1.492,0.0,15.9
1729951392.17,8.0,1.868,0.0,2.38,40.0,0.545,0.0,2.11,20.8,0.639,0.0,2.52,20.8,1.677,0.0,8.58
1729951392.27,8.0,1.474,0.0,0.997,40.0,0.628,0.0,1.09,20.8,0.699,0.0,1.82,19.2,1.53,0.0,2.54
1729951392.37,9.6,1.298,0.0,3.94,40.0,0.659,0.0,0.79,19.2,0.673,0.0,3.1,20.8,1.613,0.0,4.0
1729951392.47,6.4,1.339,0.0,1.54,40.0,0.703,0.0,0.985,20.8,0.563,0.0,1.99,19.2,1.336,0.0,4.77
1729951392.57,9.6,1.257,0.0,2.29,40.0,0.746,0.0,2.17,19.2,0.614,0.0,2.54,19.2,1.483,0.0,4.26
1729951392.67,8.0,1.222,0.0,1.24,40.0,0.634,0.0,0.925,19.2,0.771,0.0,2.06,20.8,1.496,0.0,3.81
1729951392.77,6.4,1.252,0.0,1.59,40.0,0.705,0.0,1.41,20.8,0.722,0.0,1.64,19.2,1.172,0.0,3.73
1729951392.87,8.0,1.263,0.0,2.76,38.4,0.926,0.0,1.65,19.2,0.748,0.0,1.83,20.8,1.378,0.0,5.19
1729951392.97,8.0,1.503,0.0,0.967,40.0,0.825,0.0,1.68,20.8,0.61,0.0,1.35,19.2,1.117,0.0,9.62
1729951393.07,8.0,1.34,0.0,1.67,40.0,0.804,0.0,2.79,19.2,0.62,0.0,2.46,20.8,1.248,0.0,4.97
1729951393.17,9.6,1.111,0.0,0.987,40.0,0.693,0.0,2.25,20.8,0.781,0.0,2.49,20.8,1.252,0.0,5.76
1729951393.27,8.0,1.209,0.0,1.52,40.0,0.797,0.0,3.84,19.2,0.776,0.0,2.24,19.2,1.31,0.0,4.1
1729951393.37,6.4,1.058,0.0,2.36,40.0,0.862,0.0,4.07,20.8,0.737,0.0,2.64,20.8,1.768,0.0,5.41
1729951393.47,8.0,1.127,0.0,1.25,40.0,0.857,0.0,4.16,19.2,0.626,0.0,1.74,19.2,1.468,0.0,8.53
1729951393.57,9.59,1.305,0.0,2.28,40.0,0.836,0.0,6.15,20.8,0.571,0.0,3.3,20.8,1.501,0.0,5.14
1729951393.67,6.4,1.355,0.0,1.06,38.4,0.388,0.0,6.97,20.8,0.765,0.0,2.78,19.2,1.572,0.0,3.9
1729951393.77,8.0,1.413,0.0,2.31,40.0,0.522,0.0,9.02,19.2,0.856,0.0,2.84,20.8,1.836,0.0,5.13
1729951393.87,8.0,1.583,0.0,1.39,41.6,0.43,0.0,8.43,20.8,0.784,0.0,5.61,19.2,1.586,0.0,7.99
1729951393.97,8.0,1.456,0.0,1.32,41.6,0.397,0.0,7.1,19.2,0.745,0.0,1.64,20.8,1.41,0.0,4.63
1729951394.07,8.0,1.148,0.0,1.47,38.4,0.306,0.0,0.997,20.8,0.602,0.0,3.23,19.2,1.247,0.0,4.47
1729951394.17,8.0,0.953,0.0,0.98,40.0,0.364,0.0,2.62,19.2,0.837,0.0,2.28,20.8,1.254,0.0,3.62
1729951394.27,8.0,1.045,0.0,3.09,41.6,0.519,0.0,1.84,20.8,0.814,0.0,2.7,19.2,1.675,0.0,3.83
1729951394.37,8.0,0.931,0.0,1.08,38.4,0.492,0.0,1.31,19.2,0.8,0.0,4.7,20.8,1.379,0.0,6.37
1729951394.47,8.0,0.91,0.0,2.63,41.6,0.443,0.0,1.93,20.8,0.726,0.0,1.48,19.2,1.313,0.0,6.02
1729951394.57,8.0,0.877,0.0,2.22,40.0,0.317,0.0,0.909,19.2,0.628,0.0,2.64,20.8,1.194,0.0,2.9
1729951394.67,8.0,1.037,0.0,1.81,40.0,0.405,0.0,1.6,20.8,0.856,0.0,1.47,19.2,1.383,0.0,3.01
1729951394.77,8.0,1.375,0.0,2.88,40.0,0.491,0.0,1.16,19.2,0.92,0.0,1.58,20.8,1.479,0.0,2.51
1729951394.87,9.6,1.224,0.0,4.51,40.0,0.543,0.0,1.01,20.8,1.08,0.0,3.66,19.2,1.707,0.0,5.98
1729951394.97,8.0,1.051,0.0,2.84,40.0,0.506,0.0,1.6,19.2,0.952,0.0,1.88,20.8,1.505,0.0,9.11
1729951395.07,6.4,0.891,0.0,3.223,40.0,0.346,0.0,0.865,20.8,0.668,0.0,2.74,19.2,1.334,0.0,4.5
1729951395.17,8.0,0.978,0.0,3.607,40.0,0.512,0.0,0.962,19.2,0.924,0.0,1.69,20.8,1.47,0.0,4.74
1729951395.27,9.6,0.96,0.0,3.99,40.0,0.523,0.0,0.876,19.2,1.061,0.0,2.6,19.2,1.557,0.0,4.58
1729951395.37,6.4,1.243,0.0,6.16,40.0,0.684,0.0,0.864,20.8,0.898,0.0,3.58,19.2,1.39,0.0,5.16
1729951395.47,8.0,1.287,0.0,6.91,40.0,0.545,0.0,1.75,19.2,0.861,0.0,4.56,20.8,1.608,0.0,9.87
1729951395.57,8.0,1.44,0.0,8.18,40.0,0.511,0.0,1.64,20.8,0.751,0.0,2.59,20.8,1.466,0.0,4.67
1729951395.67,8.0,1.504,0.0,7.23,40.0,0.631,0.0,5.75,19.2,1.121,0.0,1.43,19.2,1.898,0.0,4.98
1729951395.77,8.0,1.405,0.0,8.01,40.0,0.693,0.0,1.5,20.8,1.191,0.0,2.46,19.2,1.971,0.0,4.79
1729951395.87,8.0,1.349,0.0,9.45,40.0,0.82,0.0,1.955,19.2,0.949,0.0,3.555,20.8,1.8,0.0,9.18
1729951395.97,8.0,1.212,0.0,6.43,40.0,0.63,0.0,2.41,20.8,0.93,0.0,4.65,20.8,1.561,0.0,10.2
1729951396.07,8.0,1.189,0.0,1.78,40.0,0.578,0.0,1.72,19.2,0.563,0.0,2.83,19.2,1.363,0.0,4.9
1729951396.17,8.01,1.226,0.0,0.917,40.0,0.562,0.0,3.46,19.2,0.657,0.0,2.27,20.8,1.619,0.0,5.58
1729951396.27,8.0,1.179,0.0,2.28,38.4,0.651,0.0,1.24,20.8,0.679,0.0,3.48,19.2,1.497,0.0,6.55
1729951396.37,7.99,1.348,0.0,1.72,40.0,0.658,0.0,1.587,20.8,0.652,0.0,5.43,19.2,1.713,0.0,13.5
1729951396.47,8.0,1.638,0.0,1.63,41.5,0.642,0.0,1.933,20.8,0.68,0.0,7.38,20.8,1.681,0.0,11.4
1729951396.57,9.6,1.502,0.0,2.14,40.0,0.609,0.0,2.28,19.2,0.636,0.0,6.43,20.8,1.467,0.0,7.95
1729951396.67,6.4,1.298,0.0,0.869,38.4,0.7,0.0,3.13,20.8,0.646,0.0,4.84,19.2,1.81,0.0,8.85
1729951396.77,8.0,1.308,0.0,2.62,40.0,0.702,0.0,2.04,19.2,0.734,0.0,4.69,19.2,1.831,0.0,9.59
1729951396.87,9.59,1.39,0.0,1.58,40.0,0.846,0.0,0.89,20.8,0.89,0.0,4.73,20.8,1.804,0.0,11.145
1729951396.97,6.4,1.336,0.0,1.99,40.0,0.711,0.0,1.54,19.2,0.733,0.0,7.84,19.2,1.372,0.0,12.7
1729951397.07,9.6,1.255,0.0,2.41,40.0,0.716,0.0,1.13,19.2,0.544,0.0,7.57,20.8,1.286,0.0,8.17
1729951397.17,6.4,1.378,0.0,2.02,40.1,0.711,0.0,1.78,20.8,0.522,0.0,4.58,19.2,1.017,0.0,9.32
1729951397.27,9.6,1.625,0.0,2.35,40.0,0.649,0.0,1.4,19.2,0.663,0.0,5.19,20.8,1.175,0.0,11.6
1729951397.37,6.4,1.427,0.0,1.54,40.0,0.76,0.0,1.5,20.8,0.89,0.0,5.92,20.8,1.606,0.0,12.45
1729951397.47,9.6,1.572,0.0,2.86,40.0,0.736,0.0,3.78,20.8,0.717,0.0,7.75,19.2,1.346,0.0,13.3
1729951397.57,6.4,1.383,0.0,1.95,40.0,0.632,0.0,1.53,19.2,0.595,0.0,7.15,20.8,1.119,0.0,13.2
1729951397.67,8.0,1.508,0.0,1.45,40.0,0.777,0.0,2.16,20.8,0.607,0.0,7.17,19.2,1.276,0.0,12.8
1729951397.77,8.01,1.46,0.0,2.67,40.0,0.805,0.0,1.22,19.2,0.717,0.0,7.32,20.8,1.293,0.0,12.85
1729951397.87,7.99,1.383,0.0,1.22,40.0,0.864,0.0,0.867,20.8,0.859,0.0,8.2,19.2,1.428,0.0,12.9
1729951397.97,9.6,1.479,0.0,3.07,38.4,0.482,0.0,3.16,19.2,0.878,0.0,9.0,20.8,1.44,0.0,15.4
1729951398.07,8.0,1.702,0.0,2.2,41.6,0.47,0.0,1.62,20.8,0.69,0.0,6.72,19.2,1.241,0.0,15.7
1729951398.17,6.4,1.432,0.0,2.29,40.0,0.435,0.0,2.32,19.2,0.669,0.0,1.52,20.8,1.37,0.0,13.4
1729951398.27,8.0,1.137,0.0,2.38,40.0,0.545,0.0,3.05,20.8,0.888,0.0,1.02,19.2,1.343,0.0,3.87
1729951398.37,8.0,0.919,0.0,1.88,40.0,0.388,0.0,1.73,19.2,0.992,0.0,2.29,20.8,1.433,0.0,3.34
1729951398.47,8.0,0.889,0.0,2.91,40.0,0.395,0.0,2.65,20.8,0.884,0.0,1.05,19.2,1.221,0.0,2.81
1729951398.57,8.0,0.8,0.0,1.39,40.0,0.435,0.0,1.48,19.2,0.756,0.0,1.62,20.8,1.186,0.0,3.93
1729951398.67,8.0,0.845,0.0,1.76,40.0,0.437,0.0,2.54,20.8,0.703,0.0,1.6,19.2,1.322,0.0,4.69
1729951398.77,8.0,1.121,0.0,1.59,40.0,0.53,0.0,2.73,19.2,0.932,0.0,1.36,20.8,1.519,0.0,3.77
1729951398.87,8.0,1.197,0.0,1.12,40.0,0.354,0.0,2.55,20.8,0.968,0.0,2.01,19.2,1.502,0.0,3.37
1729951398.97,8.0,1.253,0.0,2.08,40.0,0.404,0.0,2.46,19.2,0.852,0.0,0.823,20.8,1.341,0.0,2.97
1729951399.07,8.01,1.508,0.0,1.23,40.0,0.416,0.0,2.38,20.8,0.745,0.0,2.59,19.2,1.214,0.0,3.715
1729951399.17,8.0,1.42,0.0,1.58,40.0,0.602,0.0,1.76,19.2,0.642,0.0,2.38,20.8,1.192,0.0,4.46
1729951399.27,8.0,1.312,0.0,1.68,40.0,0.519,0.0,1.37,20.8,0.871,0.0,1.76,19.2,1.487,0.0,4.01
1729951399.37,8.0,1.174,0.0,1.59,40.0,0.365,0.0,4.19,19.2,0.934,0.0,2.69,20.8,1.363,0.0,4.48
1729951399.47,8.0,1.071,0.0,2.16,40.0,0.459,0.0,4.08,19.2,0.813,0.0,1.38,19.2,1.286,0.0,4.07
1729951399.57,8.0,1.105,0.0,1.22,40.0,0.502,0.0,2.97,20.8,0.787,0.0,2.69,20.8,1.246,0.0,4.13
1729951399.67,7.99,1.041,0.0,0.815,41.6,0.523,0.0,3.85,20.8,0.686,0.0,2.29,19.2,1.322,0.0,4.19
1729951399.77,8.0,1.265,0.0,2.12,38.4,0.502,0.0,3.4,19.2,1.03,0.0,2.08,20.8,1.61,0.0,3.99
1729951399.87,8.0,1.488,0.0,1.17,41.6,0.395,0.0,5.05,19.2,0.982,0.0,2.37,19.2,1.525,0.0,4.53
