Time,F2F4Bitrate,F2F4Jitter,F2F4Datagrams,F2F4Delay,F2S1Bitrate,F2S1Jitter,F2S1Datagrams,F2S1Delay,F2C1Bitrate,F2C1Jitter,F2C1Datagrams,F2C1Delay,F2F1Bitrate,F2F1Jitter,F2F1Datagrams,F2F1Delay
1729951382.07,20.8,1.438,0.0,3.36,40.0,1.107,0.0,12.6,7.99,2.35,0.0,4.1,19.2,0.849,0.0,7.08
1729951382.17,19.2,1.448,0.0,4.37,40.0,1.109,0.0,10.7,8.01,2.084,0.0,3.725,20.8,0.928,0.0,6.735
1729951382.27,20.8,1.498,0.0,2.49,40.0,0.757,0.0,10.2,8.0,1.769,0.0,3.35,20.8,0.878,0.0,6.39
1729951382.37,19.2,1.626,0.0,3.7,40.0,1.106,0.0,10.3,8.0,2.051,0.0,2.03,19.2,1.055,0.0,5.96
1729951382.47,20.8,1.588,0.0,4.8,40.0,0.858,0.0,16.8,8.0,2.119,0.0,6.29,20.8,0.817,0.0,8.75
1729951382.57,19.2,1.791,0.0,3.85,38.4,1.187,0.0,15.6,8.0,2.489,0.0,2.52,19.2,0.895,0.0,9.44
1729951382.67,20.8,1.796,0.0,5.41,41.6,1.24,0.0,13.2,7.99,2.714,0.0,6.88,20.8,1.168,0.0,9.72
1729951382.77,19.2,1.479,0.0,4.13,40.0,1.048,0.0,9.07,9.6,2.751,0.0,3.73,19.1,1.082,0.0,10.0
1729951382.87,20.8,1.63,0.0,4.92,40.0,1.138,0.0,1.82,6.4,2.398,0.0,7.49,19.3,0.982,0.0,1.29
1729951382.97,19.2,1.708,0.0,2.77,40.0,0.889,0.0,2.57,9.6,1.823,0.0,4.44,20.8,0.818,0.0,1.35
1729951383.07,20.8,1.562,0.0,3.43,40.0,1.124,0.0,3.66,6.41,2.069,0.0,5.29,19.2,0.956,0.0,2.06
1729951383.17,19.2,1.577,0.0,3.83,38.4,1.171,0.0,2.45,7.99,1.901,0.0,10.8,20.8,1.034,0.0,1.63
1729951383.27,19.2,1.375,0.0,5.95,41.6,1.185,0.0,4.09,9.6,1.81,0.0,6.44,20.8,1.093,0.0,1.9
1729951383.37,20.8,1.597,0.0,5.63,40.0,1.004,0.0,2.56,8.0,1.844,0.0,7.03,19.2,1.008,0.0,2.01
1729951383.47,19.2,1.603,0.0,4.27,40.0,0.992,0.0,2.82,8.01,1.969,0.0,8.58,20.8,0.847,0.0,1.84
1729951383.57,20.8,1.489,0.0,4.82,38.4,1.371,0.0,4.12,7.99,2.194,0.0,10.3,19.2,0.813,0.0,2.09
1729951383.67,19.2,1.706,0.0,5.55,41.6,1.255,0.0,2.2,6.4,2.476,0.0,11.3,19.2,1.2,0.0,1.7
1729951383.77,19.2,1.144,0.0,10.1,38.4,1.279,0.0,2.89,9.62,2.029,0.0,10.4,20.8,1.207,0.0,2.24
1729951383.87,20.8,1.73,0.0,5.4,41.6,1.181,0.0,2.74,7.99,1.988,0.0,12.2,19.2,1.102,0.0,1.37
1729951383.97,19.2,1.309,0.0,3.3,38.4,1.441,0.0,2.92,7.99,2.058,0.0,14.8,20.8,0.972,0.0,1.46
1729951384.07,20.8,1.192,0.0,5.26,41.6,1.304,0.0,3.16,6.4,2.228,0.0,10.1,19.2,0.933,0.0,1.48
1729951384.17,20.8,1.385,0.0,8.46,40.0,1.074,0.0,2.41,9.6,2.288,0.0,2.58,20.8,1.082,0.0,1.15
1729951384.27,20.8,1.15,0.0,4.71,38.4,1.402,0.0,3.87,6.4,2.536,0.0,1.96,19.2,1.058,0.0,2.23
1729951384.37,19.2,1.232,0.0,6.52,38.4,1.526,0.0,5.4,9.6,2.758,0.0,1.73,20.8,1.179,0.0,4.99
1729951384.47,20.8,1.288,0.0,10.3,41.6,1.469,0.0,3.84,6.41,3.224,0.0,2.75,19.2,1.282,0.0,2.3
1729951384.57,19.2,1.476,0.0,8.97,38.4,1.273,0.0,3.13,8.0,2.967,0.0,1.85,20.8,0.913,0.0,1.54
1729951384.67,20.8,1.333,0.0,11.9,41.6,1.07,0.0,2.26,8.0,2.592,0.0,2.03,19.2,0.767,0.0,1.11
1729951384.77,19.2,1.109,0.0,6.64,40.0,1.404,0.0,2.14,8.0,2.123,0.0,1.87,20.8,1.011,0.0,1.44
1729951384.87,20.8,1.037,0.0,7.86,38.4,1.418,0.0,5.19,9.61,1.975,0.0,1.68,19.2,1.118,0.0,2.58
1729951384.97,19.2,1.136,0.0,12.3,40.0,1.106,0.0,2.64,6.4,2.092,0.0,3.55,20.8,0.905,0.0,3.61
1729951385.07,20.8,1.268,0.0,12.1,38.4,1.199,0.0,1.99,9.6,2.52,0.0,1.9,19.2,0.933,0.0,1.08
1729951385.17,19.2,1.504,0.0,17.4,41.5,0.96,0.0,3.31,8.0,2.631,0.0,2.65,20.8,1.048,0.0,1.79
1729951385.27,20.8,1.443,0.0,14.0,40.0,1.083,0.0,2.05,8.0,2.841,0.0,3.07,19.2,1.09,0.0,0.901
1729951385.37,19.2,1.555,0.0,14.8,38.4,0.895,0.0,4.34,6.4,2.819,0.0,2.15,19.2,0.901,0.0,1.7
1729951385.47,20.8,1.478,0.0,20.1,41.6,0.979,0.0,5.31,9.61,2.916,0.0,3.62,20.8,0.76,0.0,4.45
1729951385.57,19.2,1.395,0.0,18.0,40.0,0.938,0.0,1.82,8.01,2.713,0.0,2.25,20.8,0.756,0.0,1.01
1729951385.67,20.8,1.517,0.0,11.8,40.0,0.57,0.0,3.28,7.99,2.47,0.0,4.52,19.2,0.607,0.0,2.4
1729951385.77,19.2,1.251,0.0,4.99,41.6,0.838,0.0,1.82,8.01,2.574,0.0,2.67,20.8,0.861,0.0,1.36
1729951385.87,20.8,1.282,0.0,3.27,38.4,0.751,0.0,9.09,6.4,2.529,0.0,3.7,19.2,0.883,0.0,4.2
1729951385.97,19.2,1.312,0.0,6.62,41.6,0.69,0.0,2.55,7.99,2.527,0.0,4.36,20.8,0.766,0.0,2.42
1729951386.07,20.8,1.441,0.0,4.69,40.0,0.84,0.0,2.1,8.0,2.715,0.0,2.65,19.2,0.75,0.0,1.22
1729951386.17,19.2,1.506,0.0,4.63,40.0,0.802,0.0,3.03,8.01,2.712,0.0,3.83,20.8,0.757,0.0,2.61
1729951386.27,20.8,1.266,0.0,5.47,40.0,0.869,0.0,4.54,7.99,2.313,0.0,3.06,20.8,0.886,0.0,2.65
1729951386.37,19.2,1.303,0.0,3.51,40.0,0.696,0.0,4.06,8.0,2.151,0.0,3.01,19.2,0.899,0.0,1.67
1729951386.47,20.8,1.441,0.0,8.85,40.0,1.129,0.0,1.87,8.0,2.07,0.0,3.67,20.8,0.964,0.0,1.61
1729951386.57,19.2,1.751,0.0,3.92,40.0,0.961,0.0,3.32,8.0,2.02,0.0,2.56,19.2,0.908,0.0,1.0
1729951386.67,20.8,1.76,0.0,5.45,40.0,0.786,0.0,3.41,8.0,1.932,0.0,4.49,20.8,0.747,0.0,1.72
1729951386.77,19.2,1.585,0.0,5.82,40.0,0.918,0.0,4.82,8.0,2.101,0.0,1.94,19.2,0.922,0.0,1.62
1729951386.87,20.8,1.389,0.0,5.05,41.6,0.721,0.0,6.02,8.0,2.061,0.0,3.98,20.8,0.91,0.0,2.5
1729951386.97,19.2,1.93,0.0,5.65,40.0,1.066,0.0,1.99,8.0,2.443,0.0,2.38,19.2,0.996,0.0,1.63
1729951387.07,20.8,1.917,0.0,3.73,40.0,0.915,0.0,3.01,9.6,2.56,0.0,3.19,20.8,0.878,0.0,1.44
1729951387.17,19.2,1.91,0.0,4.95,38.4,0.891,0.0,3.09,6.4,2.607,0.0,3.86,19.2,0.805,0.0,1.07
1729951387.27,20.8,1.59,0.0,5.13,41.6,1.027,0.0,7.47,8.0,2.554,0.0,2.04,19.2,0.941,0.0,2.55
1729951387.37,19.2,1.526,0.0,4.76,40.0,1.033,0.0,8.62,9.61,2.307,0.0,3.23,20.8,0.944,0.0,3.29
1729951387.47,20.8,1.758,0.0,6.32,40.0,0.967,0.0,4.06,6.4,2.316,0.0,2.08,19.2,1.008,0.0,1.57
1729951387.57,17.6,1.738,0.0,3.04,40.0,0.804,0.0,6.46,9.6,2.383,0.0,3.27,20.8,0.865,0.0,1.55
1729951387.67,20.8,1.764,0.0,5.28,38.4,1.056,0.0,8.16,6.39,2.709,0.0,2.07,20.8,0.956,0.0,3.07
1729951387.77,20.8,1.718,0.0,2.71,41.6,0.946,0.0,13.7,8.01,2.782,0.0,2.75,19.2,1.17,0.0,6.19
1729951387.87,19.2,1.543,0.0,4.71,40.0,0.988,0.0,10.2,7.99,2.896,0.0,2.81,19.2,1.133,0.0,4.17
1729951387.97,20.8,1.759,0.0,5.76,40.0,0.97,0.0,9.16,8.0,2.24,0.0,2.71,20.8,1.127,0.0,3.35
1729951388.07,19.2,1.558,0.0,3.0,40.0,1.037,0.0,9.23,9.6,1.732,0.0,4.09,19.2,1.054,0.0,3.44
1729951388.17,19.2,1.114,0.0,4.87,38.4,1.071,0.0,10.9,8.0,1.807,0.0,2.88,20.8,0.874,0.0,5.07
1729951388.27,20.8,1.056,0.0,3.09,41.6,1.076,0.0,12.7,8.0,1.679,0.0,3.46,20.8,1.232,0.0,5.78
1729951388.37,20.8,1.083,0.0,4.87,38.4,1.403,0.0,12.3,8.0,1.759,0.0,3.31,19.2,1.242,0.0,5.44
1729951388.47,19.2,1.161,0.0,2.83,41.6,1.294,0.0,14.3,8.0,1.932,0.0,2.64,20.8,1.16,0.0,5.75
1729951388.57,20.8,1.171,0.0,3.53,38.4,1.428,0.0,7.48,8.0,2.172,0.0,3.57,19.2,1.155,0.0,7.12
1729951388.67,20.8,1.092,0.0,4.7,41.6,1.378,0.0,1.77,8.0,2.406,0.0,2.63,20.8,0.989,0.0,8.66
1729951388.77,19.2,1.056,0.0,3.01,40.0,1.119,0.0,3.35,8.0,2.38,0.0,4.59,19.2,1.207,0.0,8.56
1729951388.87,20.8,1.11,0.0,4.74,38.4,1.345,0.0,1.73,6.4,1.949,0.0,4.93,19.2,1.239,0.0,6.52
1729951388.97,19.2,1.056,0.0,2.56,41.6,1.214,0.0,2.51,9.6,1.511,0.0,3.81,20.8,1.063,0.0,1.27
1729951389.07,20.8,1.152,0.0,3.2,38.4,1.231,0.0,3.01,6.4,1.493,0.0,4.32,19.2,0.962,0.0,1.52
1729951389.17,19.2,1.054,0.0,4.31,40.0,1.291,0.0,2.3,9.59,1.484,0.0,8.35,20.8,0.793,0.0,1.35
1729951389.27,20.8,1.039,0.0,2.26,38.4,0.871,0.0,3.09,6.4,1.505,0.0,8.76,19.2,1.021,0.0,0.824
1729951389.37,19.2,1.31,0.0,4.07,41.6,1.211,0.0,1.96,8.01,1.675,0.0,12.6,20.8,1.028,0.0,0.995
1729951389.47,20.8,1.23,0.0,3.28,38.4,1.241,0.0,3.14,7.99,1.955,0.0,11.0,19.2,0.955,0.0,0.97
1729951389.57,19.2,1.408,0.0,4.8,40.0,1.333,0.0,1.98,8.0,2.451,0.0,12.5,20.8,0.965,0.0,0.959
1729951389.67,20.8,1.446,0.0,3.14,38.4,0.684,0.0,3.94,8.01,2.457,0.0,14.9,19.2,0.693,0.0,0.994
1729951389.77,19.2,1.304,0.0,7.01,41.6,0.693,0.0,2.1,9.59,2.531,0.0,19.2,19.2,0.728,0.0,0.747
1729951389.87,20.8,1.256,0.0,3.97,40.0,0.76,0.0,3.19,6.4,2.232,0.0,13.3,20.8,0.734,0.0,0.952
1729951389.97,19.2,1.795,0.0,2.49,41.6,0.752,0.0,2.92,8.01,2.327,0.0,3.27,20.8,0.937,0.0,0.991
1729951390.07,20.8,1.562,0.0,8.75,40.0,0.912,0.0,2.94,7.99,2.486,0.0,1.88,19.2,0.838,0.0,0.81
1729951390.17,19.2,1.564,0.0,6.57,40.0,0.747,0.0,3.21,8.0,2.497,0.0,4.19,20.8,0.652,0.0,0.953
1729951390.27,20.8,1.407,0.0,6.9,41.6,0.712,0.0,2.18,8.0,2.549,0.0,4.84,20.8,0.63,0.0,0.833
1729951390.37,19.2,1.595,0.0,6.98,38.4,0.661,0.0,3.18,7.99,2.709,0.0,2.32,19.2,0.711,0.0,1.08
1729951390.47,20.8,1.292,0.0,6.77,40.0,0.91,0.0,2.13,8.0,2.493,0.0,3.41,20.8,0.901,0.0,1.16
1729951390.57,19.2,1.43,0.0,7.9,40.0,0.779,0.0,3.06,8.0,2.351,0.0,2.06,19.2,0.813,0.0,1.12
1729951390.67,20.8,1.437,0.0,12.0,41.6,0.902,0.0,2.36,8.0,2.141,0.0,4.13,19.2,0.824,0.0,0.796
1729951390.77,19.2,1.341,0.0,11.4,40.0,0.828,0.0,3.04,8.0,2.173,0.0,2.16,20.8,0.739,0.0,1.55
1729951390.87,20.8,1.429,0.0,10.5,40.0,0.678,0.0,2.13,8.0,2.004,0.0,2.86,20.8,0.76,0.0,1.21
1729951390.97,19.2,1.291,0.0,11.0,40.1,0.815,0.0,2.71,8.0,1.907,0.0,2.15,19.2,0.912,0.0,0.778
1729951391.07,20.8,1.619,0.0,12.9,40.0,0.785,0.0,2.53,8.0,1.971,0.0,1.74,20.8,0.804,0.0,1.01
1729951391.17,19.2,1.654,0.0,14.8,40.0,0.938,0.0,2.68,8.0,2.281,0.0,3.06,19.2,0.8,0.0,1.13
1729951391.27,20.8,1.708,0.0,16.7,40.0,0.75,0.0,3.72,8.0,2.448,0.0,1.95,20.8,0.695,0.0,1.1
1729951391.37,19.2,1.883,0.0,15.6,40.0,0.768,0.0,2.18,9.6,2.8,0.0,3.97,19.2,0.814,0.0,1.62
1729951391.47,19.2,1.426,0.0,15.9,40.0,0.924,0.0,2.22,6.4,2.716,0.0,1.7,20.8,1.076,0.0,1.06
1729951391.57,20.8,1.764,0.0,16.9,40.0,0.904,0.0,2.04,9.59,2.513,0.0,2.98,19.2,0.952,0.0,1.5
1729951391.67,20.8,1.711,0.0,3.44,38.4,1.048,0.0,1.81,8.0,2.441,0.0,2.7,19.2,0.848,0.0,0.791
1729951391.77,19.2,1.553,0.0,5.9,41.6,0.786,0.0,2.87,8.0,2.45,0.0,2.92,20.8,0.778,0.0,3.31
1729951391.87,19.3,1.67,0.0,3.98,40.0,0.955,0.0,2.02,6.4,3.032,0.0,3.33,20.8,0.873,0.0,0.901
1729951391.97,19.2,1.405,0.0,4.75,40.0,0.973,0.0,2.97,9.6,2.839,0.0,3.99,19.2,0.992,0.0,0.715
1729951392.07,20.8,1.68,0.0,4.265,40.0,1.079,0.0,1.79,6.4,3.043,0.0,3.27,20.8,0.951,0.0,0.973
1729951392.17,20.8,1.532,0.0,3.78,38.4,0.896,0.0,3.3,9.6,2.988,0.0,1.85,19.2,0.875,0.0,1.0
1729951392.27,19.2,1.497,0.0,5.12,41.7,0.842,0.0,1.92,6.4,2.614,0.0,3.51,20.8,0.738,0.0,2.06
1729951392.37,19.2,1.202,0.0,3.76,39.9,0.999,0.0,1.66,7.99,2.263,0.0,5.49,19.2,1.019,0.0,0.958
1729951392.47,20.8,1.205,0.0,4.13,40.0,1.178,0.0,3.94,8.01,2.242,0.0,2.28,20.8,1.115,0.0,0.727
1729951392.57,19.2,1.233,0.0,4.245,40.0,1.136,0.0,2.84,7.99,2.219,0.0,2.97,19.2,1.128,0.0,1.25
1729951392.67,20.8,1.304,0.0,4.36,38.4,1.231,0.0,2.77,8.0,2.154,0.0,1.91,20.8,0.933,0.0,1.36
1729951392.77,20.8,1.578,0.0,4.35,40.0,1.186,0.0,2.68,9.6,2.029,0.0,3.16,19.2,0.889,0.0,0.981
1729951392.87,19.2,1.295,0.0,4.34,41.6,1.259,0.0,2.28,6.4,2.253,0.0,4.46,20.8,1.061,0.0,1.58
1729951392.97,20.8,1.161,0.0,2.88,40.0,1.314,0.0,4.36,9.6,2.344,0.0,2.91,19.2,1.06,0.0,0.973
1729951393.07,20.8,1.073,0.0,4.88,40.0,1.263,0.0,3.41,6.4,2.312,0.0,2.82,20.8,1.138,0.0,1.64
1729951393.17,19.2,1.247,0.0,4.9,38.4,1.156,0.0,5.0,9.6,1.97,0.0,1.9,19.2,0.954,0.0,1.3
1729951393.27,19.2,1.437,0.0,2.98,41.6,1.308,0.0,6.89,6.4,2.204,0.0,3.44,19.2,0.9,0.0,1.32
1729951393.37,20.8,1.274,0.0,2.92,38.4,1.317,0.0,7.265,9.61,1.885,0.0,3.8,20.8,1.302,0.0,1.04
1729951393.47,20.8,1.155,0.0,2.52,40.0,1.234,0.0,7.64,8.0,2.126,0.0,1.67,19.2,1.289,0.0,0.717
1729951393.57,19.2,1.288,0.0,3.43,38.4,1.167,0.0,9.39,6.41,2.424,0.0,2.42,20.8,1.141,0.0,0.868
1729951393.67,20.8,1.58,0.0,1.95,40.0,1.272,0.0,11.8,9.6,2.673,0.0,2.06,19.2,1.039,0.0,0.946
1729951393.77,19.2,1.579,0.0,4.06,40.0,1.547,0.0,13.25,8.0,2.8,0.0,3.96,20.8,1.021,0.0,0.972
1729951393.87,20.8,1.597,0.0,1.7,40.0,1.148,0.0,14.7,6.4,2.944,0.0,2.38,19.2,1.08,0.0,2.07
1729951393.97,19.2,1.351,0.0,3.15,40.0,1.26,0.0,11.7,9.59,2.18,0.0,3.13,19.2,0.903,0.0,1.01
1729951394.07,20.8,1.113,0.0,3.67,40.1,0.717,0.0,11.3,8.01,1.847,0.0,1.99,20.8,0.82,0.0,1.325
1729951394.17,19.2,1.637,0.0,2.04,40.0,0.828,0.0,10.8,8.0,2.094,0.0,2.56,20.8,0.709,0.0,1.64
1729951394.27,19.2,1.5,0.0,3.01,41.6,1.018,0.0,13.2,8.0,1.939,0.0,4.63,20.8,0.776,0.0,2.35
1729951394.37,20.8,1.332,0.0,1.83,39.9,0.839,0.0,18.8,8.0,1.941,0.0,2.25,19.2,0.829,0.0,1.19
1729951394.47,20.8,1.109,0.0,3.28,41.7,0.812,0.0,3.54,6.4,1.812,0.0,3.84,20.8,0.967,0.0,1.705
1729951394.57,19.2,1.008,0.0,2.45,38.4,0.723,0.0,2.2,9.59,2.242,0.0,2.4,19.2,0.825,0.0,2.22
1729951394.67,19.2,1.448,0.0,2.02,41.6,0.778,0.0,3.77,6.41,2.262,0.0,3.65,20.8,0.83,0.0,2.005
1729951394.77,20.8,1.7,0.0,2.61,40.0,0.937,0.0,1.91,8.0,2.198,0.0,4.33,19.2,0.844,0.0,1.79
1729951394.87,19.2,1.558,0.0,6.62,40.0,0.871,0.0,2.693,8.0,2.205,0.0,9.15,20.8,0.895,0.0,1.24
1729951394.97,20.8,1.252,0.0,3.8,40.0,1.002,0.0,3.477,8.0,1.872,0.0,5.72,19.2,0.946,0.0,4.56
1729951395.07,19.2,1.165,0.0,2.59,40.0,0.707,0.0,4.26,8.0,1.521,0.0,5.88,19.2,0.891,0.0,2.28
1729951395.17,20.8,1.601,0.0,2.28,40.0,0.858,0.0,2.69,8.0,1.838,0.0,9.3,20.8,0.867,0.0,2.47
1729951395.27,19.2,1.642,0.0,3.26,40.0,1.011,0.0,4.32,8.01,1.754,0.0,11.3,20.8,0.782,0.0,5.41
1729951395.37,20.8,1.701,0.0,2.98,40.0,0.954,0.0,7.08,7.99,2.247,0.0,13.2,19.2,0.826,0.0,5.96
1729951395.47,20.8,1.544,0.0,4.27,40.0,0.986,0.0,2.79,8.0,2.266,0.0,15.4,19.2,0.926,0.0,7.12
1729951395.57,19.2,1.609,0.0,2.22,40.0,0.774,0.0,4.83,9.61,2.758,0.0,15.533,20.8,0.902,0.0,7.58
1729951395.67,19.2,1.677,0.0,2.74,40.0,1.16,0.0,2.9,8.0,2.587,0.0,15.667,19.2,0.971,0.0,8.93
1729951395.77,20.8,1.796,0.0,2.27,40.0,1.125,0.0,8.86,6.4,2.533,0.0,15.8,20.8,0.883,0.0,6.65
1729951395.87,20.8,1.865,0.0,7.54,40.0,1.327,0.0,3.91,9.6,2.408,0.0,3.78,19.2,0.959,0.0,1.09
1729951395.97,19.2,1.469,0.0,7.21,40.0,0.872,0.0,4.39,8.0,2.245,0.0,2.22,19.2,1.069,0.0,1.24
1729951396.07,19.2,1.361,0.0,2.32,40.0,0.796,0.0,5.32,8.0,2.218,0.0,2.79,20.8,0.961,0.0,0.838
1729951396.17,19.2,1.476,0.0,3.78,38.4,1.097,0.0,3.16,8.0,2.172,0.0,3.36,19.2,0.952,0.0,1.7
1729951396.27,20.8,1.688,0.0,4.38,41.6,1.153,0.0,6.58,8.0,2.292,0.0,2.48,20.8,1.055,0.0,1.92
1729951396.37,20.8,1.786,0.0,14.5,38.4,1.099,0.0,2.71,6.4,2.617,0.0,3.74,19.2,0.94,0.0,1.25
1729951396.47,19.2,1.675,0.0,13.5,41.6,1.07,0.0,3.89,9.6,2.516,0.0,2.85,20.8,0.971,0.0,1.85
1729951396.57,19.2,1.085,0.0,7.26,40.0,1.055,0.0,2.22,8.0,2.229,0.0,3.14,19.2,1.054,0.0,1.24
1729951396.67,19.2,1.001,0.0,8.67,40.0,1.161,0.0,5.61,8.0,2.097,0.0,3.43,20.8,1.088,0.0,0.902
1729951396.77,20.8,1.319,0.0,10.1,40.0,1.221,0.0,3.6,8.0,2.289,0.0,1.96,19.2,1.047,0.0,2.85
1729951396.87,20.8,1.294,0.0,15.0,40.0,1.25,0.0,2.87,8.0,2.473,0.0,3.56,19.2,1.033,0.0,2.33
1729951396.97,20.8,1.18,0.0,15.3,40.0,1.04,0.0,7.43,8.0,2.317,0.0,1.76,20.8,1.089,0.0,1.43
1729951397.07,20.8,1.024,0.0,9.99,40.0,1.058,0.0,2.87,8.01,2.282,0.0,2.223,19.2,1.094,0.0,2.64
1729951397.17,19.2,1.112,0.0,12.0,38.4,1.15,0.0,3.92,7.99,2.456,0.0,2.687,20.8,1.02,0.0,1.96
1729951397.27,19.2,1.316,0.0,13.8,40.0,0.959,0.0,3.59,6.4,2.914,0.0,3.15,19.2,0.855,0.0,2.55
1729951397.37,20.8,1.217,0.0,16.6,40.0,1.085,0.0,2.82,9.6,2.794,0.0,3.06,20.8,0.909,0.0,2.27
1729951397.47,20.8,1.177,0.0,16.3,40.0,1.103,0.0,6.92,8.0,2.755,0.0,1.76,19.2,1.02,0.0,2.2
1729951397.57,19.2,1.148,0.0,14.0,40.0,1.09,0.0,2.62,8.0,2.602,0.0,2.13,20.8,1.078,0.0,2.42
1729951397.67,20.8,1.2,0.0,2.56,40.0,1.149,0.0,3.79,8.0,2.753,0.0,2.5,19.2,1.066,0.0,1.16
1729951397.77,19.2,1.405,0.0,1.88,38.4,1.316,0.0,3.87,6.4,2.863,0.0,2.46,20.8,0.966,0.0,3.22
1729951397.87,20.8,1.535,0.0,3.4,40.0,1.428,0.0,2.01,8.0,2.812,0.0,2.57,19.2,0.956,0.0,2.01
1729951397.97,19.2,1.299,0.0,2.18,41.6,1.239,0.0,5.51,9.6,2.607,0.0,3.24,20.8,0.91,0.0,3.12
1729951398.07,19.2,1.348,0.0,2.38,38.4,1.281,0.0,2.65,6.4,2.977,0.0,2.01,19.2,0.957,0.0,2.84
1729951398.17,20.8,1.44,0.0,2.04,40.0,1.394,0.0,4.33,8.0,2.458,0.0,3.6,19.2,0.942,0.0,2.07
1729951398.27,20.8,1.447,0.0,1.57,40.0,1.389,0.0,3.79,8.01,1.881,0.0,2.94,20.8,0.929,0.0,2.94
1729951398.37,19.2,1.336,0.0,2.88,40.0,0.754,0.0,4.14,8.0,1.624,0.0,2.77,20.8,0.838,0.0,1.89
1729951398.47,20.8,1.147,0.0,2.03,41.6,0.887,0.0,4.91,8.0,1.538,0.0,2.91,19.2,0.688,0.0,2.69
1729951398.57,19.2,1.3,0.0,3.47,40.0,0.852,0.0,2.04,8.0,1.557,0.0,2.47,20.8,0.767,0.0,2.13
1729951398.67,20.8,1.137,0.0,1.94,40.0,0.861,0.0,3.82,8.0,1.719,0.0,3.19,20.8,0.822,0.0,1.85
1729951398.77,19.2,1.387,0.0,2.59,41.6,1.023,0.0,3.15,9.6,2.495,0.0,1.98,19.2,0.947,0.0,2.47
1729951398.87,20.8,1.485,0.0,2.3,40.0,0.837,0.0,5.36,6.4,2.493,0.0,3.25,20.8,0.825,0.0,1.3
1729951398.97,19.2,1.308,0.0,1.97,40.0,0.916,0.0,3.06,9.6,2.846,0.0,2.12,19.2,0.724,0.0,1.96
1729951399.07,19.2,1.191,0.0,2.37,40.0,0.687,0.0,4.28,6.41,2.38,0.0,2.55,20.8,0.831,0.0,1.7
1729951399.17,20.8,1.403,0.0,1.99,40.0,1.058,0.0,2.58,7.99,2.138,0.0,2.14,19.2,0.999,0.0,1.51
1729951399.27,20.8,1.424,0.0,3.2,40.0,0.917,0.0,1.55,8.0,2.124,0.0,2.01,19.2,0.875,0.0,1.95
1729951399.37,19.2,1.469,0.0,2.0,40.0,0.87,0.0,9.51,8.01,1.968,0.0,3.28,20.8,0.735,0.0,1.08
1729951399.47,19.2,1.379,0.0,3.47,40.0,1.031,0.0,6.72,8.0,1.861,0.0,2.08,19.2,0.593,0.0,1.77
1729951399.57,20.8,1.271,0.0,2.09,40.0,0.88,0.0,7.21,8.0,1.965,0.0,3.01,20.8,0.842,0.0,1.4
1729951399.67,20.8,1.248,0.0,2.47,40.0,1.265,0.0,6.83,8.0,1.92,0.0,2.0,19.2,0.926,0.0,3.86
1729951399.77,19.2,1.507,0.0,2.29,40.0,0.836,0.0,6.59,8.0,2.258,0.0,3.09,20.8,0.888,0.0,2.06
1729951399.87,19.2,1.579,0.0,2.12,40.0,0.942,0.0,10.1,9.59,2.369,0.0,1.97,19.2,0.826,0.0,0.979
